gene_id_base	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds
ENSMUSG00000000253	Gmpr	ENSMUST00000000260.13	16	0	59	12	2	66	332	213	1035
ENSMUSG00000000263	Glra1	ENSMUST00000102716.10	0	0	0	0	0	0	578	465	1347
ENSMUSG00000000266	Mid2	ENSMUST00000112993.2	7	0	3	0	0	0	3837	24	2055
ENSMUSG00000000275	Trim25	ENSMUST00000107896.10	990	0	609	850	30	586	3575	113	1902
ENSMUSG00000000276	Dgke	ENSMUST00000000285.9	408	0	218	105	5	101	3153	363	1692
ENSMUSG00000000278	Scpep1	ENSMUST00000000287.9	1909	13	4208	274	32	1286	645	96	1356
ENSMUSG00000000282	Mnt	ENSMUST00000000291.9	476	10	147	254	16	190	2408	409	1773
ENSMUSG00000000290	Itgb2	ENSMUST00000000299.14	0	0	5	0	0	2	449	211	2310
ENSMUSG00000000295	Hddc2	ENSMUST00000000304.14	63	0	188	35	0	107	229	32	597
ENSMUSG00000000296	Tpd52l1	ENSMUST00000000305.7	30	3	169	34	14	83	468	228	612
ENSMUSG00000000301	Pemt	ENSMUST00000102692.10	27	0	34	7	2	22	207	199	597
ENSMUSG00000000303	Cdh1	ENSMUST00000000312.12	8434	17	8777	615	53	1737	1634	144	2652
ENSMUSG00000000305	Cdh4	ENSMUST00000000314.13	46	0	40	18	0	30	3458	191	2739
ENSMUSG00000000308	Ckmt1	ENSMUST00000000317.13	9	6	19	8	7	129	126	240	1254
ENSMUSG00000000317	Bcl6b	ENSMUST00000000326.12	66	0	11	56	6	60	1902	42	1422
ENSMUSG00000000318	Clec10a	ENSMUST00000102571.10	3	0	0	0	0	0	263	321	912
ENSMUSG00000000320	Alox12	ENSMUST00000000329.9	4	0	2	6	1	22	931	81	1989
ENSMUSG00000000326	Comt	ENSMUST00000115609.10	50	10	71	426	3	43	574	497	795
ENSMUSG00000000339	Rtca	ENSMUST00000000348.15	38	2	455	71	17	253	277	219	1098
ENSMUSG00000000340	Dbt	ENSMUST00000000349.11	463	23	423	117	3	215	1784	71	1446
ENSMUSG00000000346	Dazap2	ENSMUST00000000356.10	241	1	19	229	18	130	1268	363	504
ENSMUSG00000000355	Mcts1	ENSMUST00000000365.3	58	0	45	20	14	55	127	113	543
ENSMUSG00000000359	Rem1	ENSMUST00000000369.4	4	0	15	2	0	0	480	292	891
ENSMUSG00000000365	Rnf17	ENSMUST00000095793.3	7	0	500	3	1	265	224	120	4920
ENSMUSG00000000374	Trappc10	ENSMUST00000000384.8	78	0	378	38	8	221	1134	139	3774
ENSMUSG00000000378	Ccm2	ENSMUST00000000388.15	16	0	340	69	6	300	386	113	1359
ENSMUSG00000000381	Wap	ENSMUST00000102910.4	0	0	0	0	0	0	134	15	402
ENSMUSG00000000384	Tbrg4	ENSMUST00000189268.7	115	12	506	127	79	1063	226	231	1890
ENSMUSG00000000385	Tmprss2	ENSMUST00000000395.8	0	0	0	2	0	0	1461	230	1470
ENSMUSG00000000392	Fap	ENSMUST00000102732.10	0	0	0	0	0	0	244	224	2283
ENSMUSG00000000394	Gcg	ENSMUST00000102733.10	0	0	0	0	0	0	451	97	540
ENSMUSG00000000399	Ndufa9	ENSMUST00000205002.3	3	7	2207	15	5	785	301	13	1131
ENSMUSG00000000402	Egfl6	ENSMUST00000000412.3	0	0	63	2	2	10	857	197	1650
ENSMUSG00000000409	Lck	ENSMUST00000067240.11	28	0	81	53	1	137	452	206	1527
ENSMUSG00000000411	Tssk3	ENSMUST00000000421.6	0	0	0	0	0	0	60	416	804
ENSMUSG00000000416	Cttnbp2	ENSMUST00000090601.12	0	0	13	0	0	7	153	86	4944
ENSMUSG00000000420	Galnt1	ENSMUST00000170243.8	600	61	989	82	23	127	1957	474	1677
ENSMUSG00000000435	Myf5	ENSMUST00000000445.2	0	0	0	0	0	0	1115	203	765
ENSMUSG00000000439	Mkrn2	ENSMUST00000000449.9	162	0	130	108	1	107	4896	86	1248
ENSMUSG00000000440	Pparg	ENSMUST00000171644.8	0	0	0	0	1	0	207	493	1425
ENSMUSG00000000441	Raf1	ENSMUST00000000451.14	335	34	674	168	95	806	700	426	1944
ENSMUSG00000000486	Septin1	ENSMUST00000106314.8	9	0	182	60	5	520	299	89	1098
ENSMUSG00000000489	Pdgfb	ENSMUST00000000500.8	22	0	29	39	5	30	1411	810	723
ENSMUSG00000000530	Acvrl1	ENSMUST00000000542.14	8	0	16	2	0	4	1862	272	1506
ENSMUSG00000000531	Tamalin	ENSMUST00000000543.6	42	0	69	40	7	101	743	114	1176
ENSMUSG00000000532	Acvr1b	ENSMUST00000000544.12	1219	2	771	211	4	164	2825	78	1515
ENSMUSG00000000538	Tom1l2	ENSMUST00000102683.11	36	0	63	75	1	84	3381	97	1521
ENSMUSG00000000544	Gpa33	ENSMUST00000060833.14	653	77	2556	339	51	381	1234	324	957
ENSMUSG00000000552	Zfp385a	ENSMUST00000168828.3	25	1	82	51	2	119	1103	37	1158
ENSMUSG00000000555	Itga5	ENSMUST00000023128.8	24	1	540	35	2	230	986	237	3159
ENSMUSG00000000560	Gabra2	ENSMUST00000197284.5	0	0	0	4	1	0	4208	291	1353
ENSMUSG00000000561	Wdr77	ENSMUST00000010278.12	1904	4	338	572	76	1026	2441	215	1026
ENSMUSG00000000562	Adora3	ENSMUST00000000574.3	0	0	0	1	0	0	1034	379	957
ENSMUSG00000000563	Atp5pb	ENSMUST00000118209.8	2350	38	1406	270	37	1309	291	545	768
ENSMUSG00000000567	Sox9	ENSMUST00000000579.3	1	0	0	0	0	0	2253	361	1521
ENSMUSG00000000568	Hnrnpd	ENSMUST00000172361.8	1704	52	1506	228	136	1315	5432	314	1065
ENSMUSG00000000579	Dynlt1c	ENSMUST00000092966.5	0	0	9	1090	22	2097	2111	139	339
ENSMUSG00000000581	C1d	ENSMUST00000000594.9	317	17	307	63	27	196	2484	74	423
ENSMUSG00000000594	Gm2a	ENSMUST00000000608.8	750	1	281	108	6	127	3499	49	579
ENSMUSG00000000600	Krit1	ENSMUST00000080085.9	50	7	223	6	16	130	420	302	2208
ENSMUSG00000000605	Clcn4	ENSMUST00000000619.8	236	2	254	15	1	35	1878	488	2241
ENSMUSG00000000606	Vmn2r88	ENSMUST00000159674.4	0	0	0	0	0	1	1842	181	2544
ENSMUSG00000000617	Grm6	ENSMUST00000171427.8	0	0	0	1	0	0	1551	166	2613
ENSMUSG00000000627	Sema4f	ENSMUST00000000641.15	16	0	11	4	0	2	1609	146	2331
ENSMUSG00000000628	Hk2	ENSMUST00000000642.11	518	55	806	351	100	902	2288	474	2751
ENSMUSG00000000631	Myo18a	ENSMUST00000092887.11	95	0	1614	76	4	518	1148	51	6105
ENSMUSG00000000632	Sez6	ENSMUST00000093995.10	0	0	0	0	1	2	1006	260	2973
ENSMUSG00000000673	Haao	ENSMUST00000000687.9	0	0	0	0	0	1	490	33	858
ENSMUSG00000000682	Cd52	ENSMUST00000000696.7	0	0	0	1	0	0	194	98	222
ENSMUSG00000000686	Abhd15	ENSMUST00000094004.5	0	0	0	1	0	3	1207	78	1377
ENSMUSG00000000690	Hoxb6	ENSMUST00000000704.6	0	0	0	1	0	0	643	6	672
ENSMUSG00000000693	Loxl3	ENSMUST00000000707.9	0	0	0	1	0	4	1692	144	2262
ENSMUSG00000000701	Tcl1b5	ENSMUST00000000717.9	0	0	0	0	0	0	621	71	363
ENSMUSG00000000706	Btn1a1	ENSMUST00000041674.14	8	0	0	0	0	0	1714	137	1572
ENSMUSG00000000708	Kat2b	ENSMUST00000000724.15	572	0	251	90	5	239	1855	359	2439
ENSMUSG00000000711	Rab5b	ENSMUST00000000727.4	438	3	62	272	19	60	2358	177	645
ENSMUSG00000000724	Cryba1	ENSMUST00000078623.5	0	0	0	0	0	1	131	2	645
ENSMUSG00000000730	Dnmt3l	ENSMUST00000138785.8	37	0	1147	135	53	1444	276	283	1263
ENSMUSG00000000731	Aire	ENSMUST00000128241.8	0	0	0	21	0	63	225	57	1656
ENSMUSG00000000732	Icosl	ENSMUST00000105393.3	78	4	56	83	4	89	1625	223	966
ENSMUSG00000000738	Spg7	ENSMUST00000149248.9	4	0	801	41	0	475	205	348	2343
ENSMUSG00000000739	Sult5a1	ENSMUST00000000755.15	11	0	5	13	0	6	2842	90	873
ENSMUSG00000000740	Rpl13	ENSMUST00000000756.6	663	49	648	202	340	4773	45	102	633
ENSMUSG00000000743	Chmp1a	ENSMUST00000000759.9	348	0	40	296	16	262	1464	88	588
ENSMUSG00000000751	Rpa1	ENSMUST00000092907.12	912	46	3771	819	118	3013	3142	66	1869
ENSMUSG00000000753	Serpinf1	ENSMUST00000000769.14	25	0	20	0	0	3	368	213	1251
ENSMUSG00000000759	Tubgcp3	ENSMUST00000000776.15	88	1	173	33	2	250	864	218	2715
ENSMUSG00000000766	Oprm1	ENSMUST00000105607.8	0	0	0	0	0	0	772	403	1194
ENSMUSG00000000776	Polr3d	ENSMUST00000180358.3	27	0	143	61	3	160	663	175	1194
ENSMUSG00000000782	Tcf7	ENSMUST00000109071.3	143	0	218	178	12	282	650	152	1257
ENSMUSG00000000787	Ddx3x	ENSMUST00000000804.7	4663	21	4967	1602	65	2968	2563	143	1986
ENSMUSG00000000791	Il12rb1	ENSMUST00000000808.8	15	0	1	12	0	8	556	103	2214
ENSMUSG00000000792	Slc5a5	ENSMUST00000000809.3	0	0	7	5	0	5	978	96	1854
ENSMUSG00000000794	Kcnn3	ENSMUST00000000811.8	0	0	0	0	0	0	383	305	2196
ENSMUSG00000000804	Usp32	ENSMUST00000108075.9	249	7	1039	186	6	722	1971	270	4812
ENSMUSG00000000805	Car4	ENSMUST00000103194.10	0	3	14	8	0	20	242	99	915
ENSMUSG00000000811	Txnrd3	ENSMUST00000000828.14	16	0	67	12	5	67	735	256	1845
ENSMUSG00000000817	Fasl	ENSMUST00000000834.4	0	0	0	0	0	0	890	210	837
ENSMUSG00000000823	Zfp512b	ENSMUST00000108789.9	110	4	72	176	9	199	2722	385	2607
ENSMUSG00000000826	Dnajc5	ENSMUST00000072334.12	722	5	168	432	25	130	5760	224	594
ENSMUSG00000000827	Tpd52l2	ENSMUST00000069712.9	417	13	188	148	90	452	1084	115	600
ENSMUSG00000000838	Fmr1	ENSMUST00000088546.12	403	0	803	114	30	293	2291	276	1842
ENSMUSG00000000861	Bcl11a	ENSMUST00000109514.8	21	5	0	0	0	11	3266	218	2505
ENSMUSG00000000869	Il4	ENSMUST00000000889.7	0	0	0	0	0	0	107	63	420
ENSMUSG00000000876	Pxmp4	ENSMUST00000000896.11	22	0	20	20	2	17	2074	79	636
ENSMUSG00000000881	Dlg3	ENSMUST00000087984.11	100	0	83	82	0	73	2086	323	2547
ENSMUSG00000000884	Gnb1l	ENSMUST00000090086.11	22	9	34	14	10	101	2396	175	978
ENSMUSG00000000889	Dbh	ENSMUST00000000910.7	0	0	0	0	0	0	403	283	1866
ENSMUSG00000000901	Mmp11	ENSMUST00000000924.13	276	0	634	48	0	194	763	49	1476
ENSMUSG00000000902	Smarcb1	ENSMUST00000000925.10	29	7	276	106	55	630	283	222	1155
ENSMUSG00000000903	Vpreb3	ENSMUST00000000926.3	0	0	0	0	0	3	198	58	369
ENSMUSG00000000915	Hip1r	ENSMUST00000000939.15	183	1	362	44	1	201	3396	135	3204
ENSMUSG00000000916	Nsun5	ENSMUST00000000940.15	17	0	59	42	2	208	817	31	1395
ENSMUSG00000000934	Top1mt	ENSMUST00000000958.9	4	0	122	1	0	83	80	44	1779
ENSMUSG00000000938	Hoxa10	ENSMUST00000125581.2	0	0	0	0	0	0	1312	5	1248
ENSMUSG00000000942	Hoxa4	ENSMUST00000101395.3	0	0	0	0	0	0	674	65	855
ENSMUSG00000000957	Mmp14	ENSMUST00000089688.6	18	0	162	12	1	51	596	254	1746
ENSMUSG00000000958	Slc7a7	ENSMUST00000197440.5	614	31	831	57	51	661	345	403	1530
ENSMUSG00000000959	Oxa1l	ENSMUST00000000985.7	50	1	238	68	4	500	1225	14	1299
ENSMUSG00000000976	Heatr6	ENSMUST00000001002.8	57	0	169	86	0	433	2035	27	3552
ENSMUSG00000000982	Ccl3	ENSMUST00000001008.6	0	0	0	0	0	0	412	78	276
ENSMUSG00000000983	Wfdc18	ENSMUST00000001009.14	0	0	0	0	0	0	196	103	222
ENSMUSG00000001014	Icam4	ENSMUST00000001040.7	0	0	11	0	0	9	104	81	786
ENSMUSG00000001016	Ilf2	ENSMUST00000001042.10	219	23	751	151	36	944	763	94	1170
ENSMUSG00000001017	Chtop	ENSMUST00000049937.13	364	40	203	409	134	526	940	325	747
ENSMUSG00000001018	Snapin	ENSMUST00000149884.2	238	0	136	67	2	62	1461	59	408
ENSMUSG00000001020	S100a4	ENSMUST00000001046.7	0	0	0	0	0	0	144	51	303
ENSMUSG00000001021	S100a3	ENSMUST00000001047.8	0	0	0	0	0	0	350	59	303
ENSMUSG00000001023	S100a5	ENSMUST00000107329.8	0	0	0	0	0	0	129	23	279
ENSMUSG00000001025	S100a6	ENSMUST00000001051.9	29	0	103	15	22	90	95	369	267
ENSMUSG00000001027	Scn4a	ENSMUST00000021056.8	0	0	2	0	0	0	1075	0	5523
ENSMUSG00000001029	Icam2	ENSMUST00000001055.15	0	0	0	1	1	10	154	297	831
ENSMUSG00000001034	Mapk7	ENSMUST00000079080.13	10	1	80	41	16	445	308	293	2418
ENSMUSG00000001036	Epn2	ENSMUST00000179936.8	1074	24	269	309	52	356	2171	361	1920
ENSMUSG00000001039	B9d1	ENSMUST00000102657.10	41	0	178	48	6	257	140	65	612
ENSMUSG00000001052	Sec24b	ENSMUST00000001079.15	124	2	73	40	1	253	1136	239	3753
ENSMUSG00000001053	N4bp3	ENSMUST00000001080.16	228	27	143	190	61	577	561	195	1611
ENSMUSG00000001054	Rmnd5b	ENSMUST00000001081.10	57	26	445	152	121	939	413	354	1179
ENSMUSG00000001056	Nhp2	ENSMUST00000127405.2	531	177	2416	499	75	1518	500	83	459
ENSMUSG00000001062	Vps9d1	ENSMUST00000122363.8	0	0	43	22	0	40	743	262	1947
ENSMUSG00000001065	Zfp276	ENSMUST00000001092.15	24	2	19	27	6	53	1708	521	1842
ENSMUSG00000001076	C1ql4	ENSMUST00000064462.5	0	0	0	0	0	0	671	89	714
ENSMUSG00000001082	Mfsd10	ENSMUST00000001109.11	14	10	270	32	32	275	260	279	1368
ENSMUSG00000001089	Luzp1	ENSMUST00000001116.5	800	27	1380	488	39	382	3928	114	3204
ENSMUSG00000001095	Slc13a2	ENSMUST00000001122.6	0	0	3	0	0	2	604	50	1758
ENSMUSG00000001098	Kctd10	ENSMUST00000102581.11	155	0	42	197	4	85	2078	80	945
ENSMUSG00000001100	Poldip2	ENSMUST00000001127.11	99	0	577	241	14	730	831	119	1104
ENSMUSG00000001103	Sebox	ENSMUST00000001130.8	0	0	0	0	0	2	678	103	570
ENSMUSG00000001105	Ift20	ENSMUST00000128788.8	60	16	313	20	102	101	298	447	396
ENSMUSG00000001119	Col6a1	ENSMUST00000001147.5	0	0	0	3	0	0	770	255	3075
ENSMUSG00000001120	Pcbp3	ENSMUST00000001148.11	33	0	90	60	41	157	636	264	1113
ENSMUSG00000001123	Lgals9	ENSMUST00000108269.10	21	0	11	16	0	84	419	108	1059
ENSMUSG00000001127	Araf	ENSMUST00000001155.11	63	7	822	59	10	282	409	137	1812
ENSMUSG00000001128	Cfp	ENSMUST00000001156.8	0	0	28	1	0	51	143	101	1392
ENSMUSG00000001131	Timp1	ENSMUST00000115342.10	0	20	88	8	12	93	104	164	615
ENSMUSG00000001134	Uxt	ENSMUST00000123836.2	4	0	42	9	13	141	311	93	471
ENSMUSG00000001138	Cnnm3	ENSMUST00000001166.14	493	0	123	131	2	148	3010	44	2139
ENSMUSG00000001143	Lman2l	ENSMUST00000125304.8	317	0	114	91	0	60	2299	38	1041
ENSMUSG00000001150	Mcm3ap	ENSMUST00000170795.3	42	102	943	35	40	1174	120	394	5913
ENSMUSG00000001151	Pcnt	ENSMUST00000217838.2	501	23	5732	38	7	1264	479	168	8694
ENSMUSG00000001155	Ftcd	ENSMUST00000001183.8	0	0	0	0	0	1	252	58	1623
ENSMUSG00000001156	Mxd1	ENSMUST00000001184.10	56	0	9	36	0	23	3832	153	681
ENSMUSG00000001157	Gmcl1	ENSMUST00000001185.14	121	4	333	77	13	198	1158	219	1572
ENSMUSG00000001158	Snrnp27	ENSMUST00000001186.11	105	0	316	53	6	136	378	42	465
ENSMUSG00000001166	Oas1c	ENSMUST00000117193.8	11	0	11	10	2	10	843	362	1086
ENSMUSG00000001168	Oas1h	ENSMUST00000072476.13	0	0	0	0	0	8	563	33	1107
ENSMUSG00000001173	Ocrl	ENSMUST00000001202.15	112	1	209	80	6	111	2287	266	2700
ENSMUSG00000001175	Calm1	ENSMUST00000110082.11	698	48	1081	692	216	1265	3389	279	447
ENSMUSG00000001211	Agpat3	ENSMUST00000001240.12	21	2	66	33	11	48	4512	340	1128
ENSMUSG00000001225	Slc26a3	ENSMUST00000001254.6	0	0	0	0	0	0	425	212	2271
ENSMUSG00000001227	Sema6b	ENSMUST00000001256.11	19	0	51	4	0	54	919	159	2658
ENSMUSG00000001228	Uhrf1	ENSMUST00000001258.15	413	52	1092	435	117	2542	987	253	2346
ENSMUSG00000001229	Dpp9	ENSMUST00000038794.6	90	3	141	56	23	350	555	233	2586
ENSMUSG00000001240	Ramp2	ENSMUST00000129680.8	0	0	9	0	0	3	187	424	567
ENSMUSG00000001247	Lsr	ENSMUST00000001279.15	32	5	335	3	7	283	94	291	1782
ENSMUSG00000001248	Gramd1a	ENSMUST00000001280.14	3	0	81	30	0	194	368	179	2166
ENSMUSG00000001249	Hpn	ENSMUST00000168884.8	0	0	29	3	2	34	313	201	1248
ENSMUSG00000001260	Gabrg1	ENSMUST00000031119.6	0	0	0	0	0	4	2978	398	1395
ENSMUSG00000001270	Ckb	ENSMUST00000001304.9	65	1	565	336	108	3095	205	124	1143
ENSMUSG00000001280	Sp1	ENSMUST00000001326.7	5262	17	2068	828	19	565	5375	36	2343
ENSMUSG00000001281	Itgb7	ENSMUST00000001327.11	20	2	413	20	3	336	168	97	2418
ENSMUSG00000001285	Myg1	ENSMUST00000113682.9	0	0	114	1	0	283	308	32	1140
ENSMUSG00000001288	Rarg	ENSMUST00000043172.15	235	18	163	157	10	549	1089	490	1374
ENSMUSG00000001289	Pfdn5	ENSMUST00000166658.8	400	0	237	83	13	419	527	73	462
ENSMUSG00000001300	Efnb2	ENSMUST00000001319.15	202	3	15	14	7	7	3157	628	1008
ENSMUSG00000001305	Rrp15	ENSMUST00000001339.6	99	0	794	106	10	543	428	50	843
ENSMUSG00000001313	Rnd2	ENSMUST00000001347.7	13	0	35	68	4	157	550	163	681
ENSMUSG00000001323	Srr	ENSMUST00000065211.9	0	0	4	3	1	2	2272	410	1017
ENSMUSG00000001333	Sync	ENSMUST00000102599.4	8	0	5	2	0	4	510	122	1410
ENSMUSG00000001334	Fndc5	ENSMUST00000102600.4	0	0	11	2	0	0	2056	80	627
ENSMUSG00000001348	Acp5	ENSMUST00000165735.9	9	0	34	6	0	22	296	99	981
ENSMUSG00000001349	Cnn1	ENSMUST00000001384.6	0	0	4	2	0	5	1402	88	891
ENSMUSG00000001366	Fbxo9	ENSMUST00000001402.14	59	0	146	28	1	94	481	58	1311
ENSMUSG00000001376	Vps50	ENSMUST00000001412.17	155	0	892	27	14	279	755	141	2892
ENSMUSG00000001380	Hars	ENSMUST00000001416.8	117	2	950	77	48	975	357	105	1527
ENSMUSG00000001383	Zmat2	ENSMUST00000001419.10	583	4	1525	358	17	369	1647	66	597
ENSMUSG00000001403	Ube2c	ENSMUST00000088248.13	69	11	220	168	127	1359	348	82	537
ENSMUSG00000001415	Smg5	ENSMUST00000001451.11	346	8	439	179	16	867	1233	164	3051
ENSMUSG00000001416	Cct3	ENSMUST00000001452.14	97	31	5950	406	164	5339	222	120	1635
ENSMUSG00000001418	Glmp	ENSMUST00000177005.8	138	18	272	80	5	198	2948	59	1212
ENSMUSG00000001419	Mef2d	ENSMUST00000107558.9	0	1	39	2	14	81	15	234	1518
ENSMUSG00000001420	Tmem79	ENSMUST00000001456.11	11	6	28	14	4	42	1067	166	1173
ENSMUSG00000001424	Snd1	ENSMUST00000001460.14	300	8	2068	211	81	1367	535	217	2730
ENSMUSG00000001435	Col18a1	ENSMUST00000105409.8	213	0	7902	81	0	3692	181	29	4581
ENSMUSG00000001436	Slc19a1	ENSMUST00000105410.10	20	5	78	32	14	113	628	183	1536
ENSMUSG00000001440	Kpnb1	ENSMUST00000001479.5	6263	13	11999	3748	223	10175	2970	296	2628
ENSMUSG00000001441	Npepps	ENSMUST00000001480.14	658	2	4213	436	13	1654	1275	180	2760
ENSMUSG00000001444	Tbx21	ENSMUST00000001484.3	0	0	17	3	0	11	704	194	1590
ENSMUSG00000001445	Mrpl10	ENSMUST00000001485.10	509	0	117	384	3	368	881	41	786
ENSMUSG00000001467	Cyp51	ENSMUST00000001507.5	2507	35	1966	148	32	260	1983	439	1509
ENSMUSG00000001472	Tcf25	ENSMUST00000057934.10	13	1	586	32	27	993	661	49	2028
ENSMUSG00000001473	Tubb6	ENSMUST00000001513.8	30	13	127	32	4	401	376	41	1341
ENSMUSG00000001482	Def8	ENSMUST00000108830.2	299	0	129	286	10	430	1699	148	1344
ENSMUSG00000001493	Meox1	ENSMUST00000057054.8	12	0	3	3	3	4	1100	369	759
ENSMUSG00000001494	Sost	ENSMUST00000001534.7	0	0	0	0	0	0	1391	42	633
ENSMUSG00000001496	Nkx2-1	ENSMUST00000001536.9	3	0	0	0	0	0	1080	613	1116
ENSMUSG00000001497	Pax9	ENSMUST00000001538.10	0	0	0	3	0	0	2918	222	1026
ENSMUSG00000001504	Irx2	ENSMUST00000074372.6	0	0	4	0	0	3	961	242	1422
ENSMUSG00000001506	Col1a1	ENSMUST00000001547.8	13	0	15	0	0	10	1426	145	4359
ENSMUSG00000001507	Itga3	ENSMUST00000001548.14	228	0	727	57	11	167	1324	378	3159
ENSMUSG00000001508	Sgca	ENSMUST00000100551.11	0	0	0	0	0	0	279	25	1161
ENSMUSG00000001510	Dlx3	ENSMUST00000092768.7	1	7	0	1	0	5	1543	203	861
ENSMUSG00000001517	Foxm1	ENSMUST00000073316.13	251	2	216	184	3	206	2183	198	2271
ENSMUSG00000001518	Itfg2	ENSMUST00000001559.11	76	3	160	47	4	163	873	118	1329
ENSMUSG00000001520	Nrip2	ENSMUST00000001561.12	0	0	0	0	0	0	859	347	687
ENSMUSG00000001521	Tulp3	ENSMUST00000001562.9	146	0	153	222	12	268	1921	73	1380
ENSMUSG00000001524	Gtf2h4	ENSMUST00000001565.15	4	40	185	6	66	448	103	187	1389
ENSMUSG00000001525	Tubb5	ENSMUST00000001566.10	1016	164	2789	2106	367	10790	1064	253	1332
ENSMUSG00000001542	Ell2	ENSMUST00000001583.8	399	9	382	113	8	235	1571	894	1917
ENSMUSG00000001552	Jup	ENSMUST00000001592.15	239	0	919	325	55	1836	848	122	2235
ENSMUSG00000001555	Fkbp10	ENSMUST00000001595.10	52	0	232	31	0	72	754	87	1743
ENSMUSG00000001558	Klhl10	ENSMUST00000001599.4	0	0	54	0	0	21	79	114	1824
