gene_id_base	gene_name	transcript_id	region	clip_points	region_length	rna_control_reads
ENSMUSG00000000594	Gm2a	ENSMUST00000000608.8	cds	281	579	127
ENSMUSG00000000600	Krit1	ENSMUST00000080085.9	3utr	50	420	6
ENSMUSG00000000600	Krit1	ENSMUST00000080085.9	5utr	7	302	16
ENSMUSG00000000600	Krit1	ENSMUST00000080085.9	cds	223	2208	130
ENSMUSG00000000605	Clcn4	ENSMUST00000000619.8	3utr	236	1878	15
ENSMUSG00000000605	Clcn4	ENSMUST00000000619.8	5utr	2	488	1
ENSMUSG00000000605	Clcn4	ENSMUST00000000619.8	cds	254	2241	35
ENSMUSG00000000606	Vmn2r88	ENSMUST00000159674.4	3utr	0	1842	0
ENSMUSG00000000606	Vmn2r88	ENSMUST00000159674.4	5utr	0	181	0
ENSMUSG00000000606	Vmn2r88	ENSMUST00000159674.4	cds	0	2544	1
ENSMUSG00000000617	Grm6	ENSMUST00000171427.8	3utr	0	1551	1
ENSMUSG00000000617	Grm6	ENSMUST00000171427.8	5utr	0	166	0
ENSMUSG00000000617	Grm6	ENSMUST00000171427.8	cds	0	2613	0
ENSMUSG00000000627	Sema4f	ENSMUST00000000641.15	3utr	16	1609	4
ENSMUSG00000000627	Sema4f	ENSMUST00000000641.15	5utr	0	146	0
ENSMUSG00000000627	Sema4f	ENSMUST00000000641.15	cds	11	2331	2
ENSMUSG00000000628	Hk2	ENSMUST00000000642.11	3utr	518	2288	351
ENSMUSG00000000628	Hk2	ENSMUST00000000642.11	5utr	55	474	100
ENSMUSG00000000628	Hk2	ENSMUST00000000642.11	cds	806	2751	902
ENSMUSG00000000631	Myo18a	ENSMUST00000092887.11	3utr	95	1148	76
ENSMUSG00000000631	Myo18a	ENSMUST00000092887.11	5utr	0	51	4
ENSMUSG00000000631	Myo18a	ENSMUST00000092887.11	cds	1614	6105	518
ENSMUSG00000000632	Sez6	ENSMUST00000093995.10	3utr	0	1006	0
ENSMUSG00000000632	Sez6	ENSMUST00000093995.10	5utr	0	260	1
ENSMUSG00000000632	Sez6	ENSMUST00000093995.10	cds	0	2973	2
ENSMUSG00000000673	Haao	ENSMUST00000000687.9	3utr	0	490	0
ENSMUSG00000000673	Haao	ENSMUST00000000687.9	5utr	0	33	0
ENSMUSG00000000673	Haao	ENSMUST00000000687.9	cds	0	858	1
ENSMUSG00000000682	Cd52	ENSMUST00000000696.7	3utr	0	194	1
ENSMUSG00000000682	Cd52	ENSMUST00000000696.7	5utr	0	98	0
ENSMUSG00000000682	Cd52	ENSMUST00000000696.7	cds	0	222	0
ENSMUSG00000000686	Abhd15	ENSMUST00000094004.5	3utr	0	1207	1
ENSMUSG00000000686	Abhd15	ENSMUST00000094004.5	5utr	0	78	0
ENSMUSG00000000686	Abhd15	ENSMUST00000094004.5	cds	0	1377	3
ENSMUSG00000000690	Hoxb6	ENSMUST00000000704.6	3utr	0	643	1
ENSMUSG00000000690	Hoxb6	ENSMUST00000000704.6	5utr	0	6	0
ENSMUSG00000000690	Hoxb6	ENSMUST00000000704.6	cds	0	672	0
ENSMUSG00000000693	Loxl3	ENSMUST00000000707.9	3utr	0	1692	1
ENSMUSG00000000693	Loxl3	ENSMUST00000000707.9	5utr	0	144	0
ENSMUSG00000000693	Loxl3	ENSMUST00000000707.9	cds	0	2262	4
