gene_id	gene_id_base	gene_name	transcript_id	chrom	strand	transcript_length	cds_length	utr_length	selection_score
ENSMUSG00000016179.12	ENSMUSG00000016179	Camk1g	ENSMUST00000016323.11	chr1	-	2469	1431	1038	1|1|1|1|1431|2469
ENSMUSG00000016181.10	ENSMUSG00000016181	Utp25	ENSMUST00000085555.7	chr1	-	5570	2304	3266	1|1|1|1|2304|5570
ENSMUSG00000016194.15	ENSMUSG00000016194	Hsd11b1	ENSMUST00000016338.15	chr1	-	1623	876	747	1|1|1|1|876|1623
ENSMUSG00000016200.15	ENSMUSG00000016200	Syt14	ENSMUST00000195354.6	chr1	-	7882	1665	6217	1|1|1|1|1665|7882
ENSMUSG00000016262.15	ENSMUSG00000016262	Sertad4	ENSMUST00000155579.8	chr1	-	3350	1131	2219	1|1|1|1|1131|3350
ENSMUSG00000016481.16	ENSMUSG00000016481	Cr1l	ENSMUST00000075451.12	chr1	-	1651	1320	331	1|1|1|1|1320|1651
ENSMUSG00000016493.14	ENSMUSG00000016493	Cd46	ENSMUST00000162650.8	chr1	-	6288	1095	5193	1|1|1|1|1095|6288
ENSMUSG00000016494.10	ENSMUSG00000016494	Cd34	ENSMUST00000016638.8	chr1	+	2454	1146	1308	1|1|1|1|1146|2454
ENSMUSG00000016524.13	ENSMUSG00000016524	Il19	ENSMUST00000016668.13	chr1	-	1021	528	493	1|1|1|1|528|1021
ENSMUSG00000016526.9	ENSMUSG00000016526	Dyrk3	ENSMUST00000016670.9	chr1	-	3164	1758	1406	1|1|1|1|1758|3164
ENSMUSG00000016528.11	ENSMUSG00000016528	Mapkapk2	ENSMUST00000016672.11	chr1	-	2854	1158	1696	1|1|1|1|1158|2854
ENSMUSG00000016529.6	ENSMUSG00000016529	Il10	ENSMUST00000016673.6	chr1	+	1310	534	776	1|1|1|1|534|1310
ENSMUSG00000016918.16	ENSMUSG00000016918	Sulf1	ENSMUST00000177608.8	chr1	+	5598	2610	2988	1|1|1|1|2610|5598
ENSMUSG00000018189.13	ENSMUSG00000018189	Uchl5	ENSMUST00000189936.7	chr1	+	1696	987	709	1|1|1|1|987|1696
ENSMUSG00000018196.19	ENSMUSG00000018196	Glrx2	ENSMUST00000185362.7	chr1	+	3337	468	2869	1|1|1|1|468|3337
ENSMUSG00000018199.10	ENSMUSG00000018199	Ro60	ENSMUST00000159879.2	chr1	-	8738	1614	7124	1|1|1|1|1614|8738
ENSMUSG00000018417.15	ENSMUSG00000018417	Myo1b	ENSMUST00000018561.14	chr1	-	4767	3408	1359	1|1|1|1|3408|4767
ENSMUSG00000019230.15	ENSMUSG00000019230	Lhx9	ENSMUST00000112026.4	chr1	-	2065	1191	874	1|1|1|1|1191|2065
ENSMUSG00000019699.17	ENSMUSG00000019699	Akt3	ENSMUST00000111160.9	chr1	-	4735	1437	3298	1|1|1|1|1437|4735
ENSMUSG00000020423.7	ENSMUSG00000020423	Btg2	ENSMUST00000020692.7	chr1	-	2743	474	2269	1|1|1|1|474|2743
ENSMUSG00000022591.6	ENSMUSG00000022591	Gm9747	ENSMUST00000023262.6	chr1	+	2822	312	2510	0|1|0|1|312|2822
ENSMUSG00000022995.17	ENSMUSG00000022995	Enah	ENSMUST00000078719.13	chr1	-	2889	2412	477	1|1|1|1|2412|2889
ENSMUSG00000023150.15	ENSMUSG00000023150	Ivns1abp	ENSMUST00000023918.13	chr1	+	3511	1926	1585	1|1|1|1|1926|3511
ENSMUSG00000025774.15	ENSMUSG00000025774	Crisp4	ENSMUST00000115344.2	chr1	-	960	879	81	1|1|1|1|879|960
ENSMUSG00000025776.14	ENSMUSG00000025776	Crispld1	ENSMUST00000095075.5	chr1	+	4472	1500	2972	1|1|1|1|1500|4472
ENSMUSG00000025777.9	ENSMUSG00000025777	Gdap1	ENSMUST00000026879.8	chr1	+	3949	1074	2875	1|1|1|1|1074|3949
ENSMUSG00000025779.11	ENSMUSG00000025779	Ly96	ENSMUST00000026881.11	chr1	+	632	480	152	1|1|1|1|480|632
ENSMUSG00000025900.14	ENSMUSG00000025900	Rp1	ENSMUST00000027032.6	chr1	-	6869	6285	584	1|0|1|1|6285|6869
ENSMUSG00000025902.14	ENSMUSG00000025902	Sox17	ENSMUST00000027035.10	chr1	-	3127	1257	1870	1|1|1|1|1257|3127
ENSMUSG00000025903.15	ENSMUSG00000025903	Lypla1	ENSMUST00000027036.11	chr1	+	2507	690	1817	1|1|1|1|690|2507
ENSMUSG00000025905.15	ENSMUSG00000025905	Oprk1	ENSMUST00000160777.8	chr1	+	4675	1140	3535	1|1|1|1|1140|4675
ENSMUSG00000025907.15	ENSMUSG00000025907	Rb1cc1	ENSMUST00000027040.13	chr1	+	7607	4764	2843	1|1|1|1|4764|7607
ENSMUSG00000025909.17	ENSMUSG00000025909	Sntg1	ENSMUST00000140295.8	chr1	-	4887	1551	3336	1|1|1|1|1551|4887
ENSMUSG00000025911.15	ENSMUSG00000025911	Adhfe1	ENSMUST00000144177.8	chr1	+	3239	1395	1844	1|1|1|1|1395|3239
ENSMUSG00000025912.17	ENSMUSG00000025912	Mybl1	ENSMUST00000088658.11	chr1	-	4980	2253	2727	1|1|1|1|2253|4980
ENSMUSG00000025915.15	ENSMUSG00000025915	Sgk3	ENSMUST00000168907.8	chr1	+	3779	1488	2291	1|1|1|1|1488|3779
ENSMUSG00000025916.11	ENSMUSG00000025916	Ppp1r42	ENSMUST00000027049.10	chr1	-	1425	1071	354	1|1|1|1|1071|1425
ENSMUSG00000025917.10	ENSMUSG00000025917	Cops5	ENSMUST00000027050.10	chr1	-	1698	1002	696	1|1|1|1|1002|1698
ENSMUSG00000025920.20	ENSMUSG00000025920	Stau2	ENSMUST00000162751.8	chr1	-	3030	1710	1320	1|1|1|1|1710|3030
ENSMUSG00000025921.8	ENSMUSG00000025921	Rdh10	ENSMUST00000027053.8	chr1	+	3587	1023	2564	1|1|1|1|1023|3587
ENSMUSG00000025925.15	ENSMUSG00000025925	Terf1	ENSMUST00000188371.7	chr1	+	2268	1263	1005	1|1|1|1|1263|2268
ENSMUSG00000025927.14	ENSMUSG00000025927	Tfap2b	ENSMUST00000027059.11	chr1	+	5863	1377	4486	1|1|1|1|1377|5863
ENSMUSG00000025929.5	ENSMUSG00000025929	Il17a	ENSMUST00000027061.5	chr1	+	1171	474	697	1|1|1|1|474|1171
ENSMUSG00000025930.7	ENSMUSG00000025930	Msc	ENSMUST00000027062.7	chr1	-	1741	603	1138	1|1|1|1|603|1741
ENSMUSG00000025931.16	ENSMUSG00000025931	Paqr8	ENSMUST00000189400.7	chr1	+	5330	1062	4268	1|1|1|1|1062|5330
ENSMUSG00000025932.15	ENSMUSG00000025932	Eya1	ENSMUST00000190337.7	chr1	-	2199	1773	426	1|1|1|1|1773|2199
ENSMUSG00000025933.16	ENSMUSG00000025933	Tmem14a	ENSMUST00000027065.12	chr1	+	1168	297	871	1|1|1|1|297|1168
ENSMUSG00000025934.16	ENSMUSG00000025934	Gsta3	ENSMUST00000027067.15	chr1	+	1457	663	794	1|1|1|1|663|1457
ENSMUSG00000025935.11	ENSMUSG00000025935	Tram1	ENSMUST00000027068.11	chr1	-	2938	1122	1816	1|1|1|1|1122|2938
ENSMUSG00000025937.7	ENSMUSG00000025937	Lactb2	ENSMUST00000027071.7	chr1	-	4494	864	3630	1|1|1|1|864|4494
ENSMUSG00000025938.17	ENSMUSG00000025938	Slco5a1	ENSMUST00000136197.8	chr1	-	5123	1974	3149	1|0|0|1|1974|5123
ENSMUSG00000025939.20	ENSMUSG00000025939	Ube2w	ENSMUST00000117146.9	chr1	-	2181	453	1728	1|1|0|1|453|2181
ENSMUSG00000025940.7	ENSMUSG00000025940	Tmem70	ENSMUST00000177501.2	chr1	+	1636	762	874	1|1|1|1|762|1636
ENSMUSG00000025945.12	ENSMUSG00000025945	Crygf	ENSMUST00000027082.11	chr1	+	627	522	105	1|1|1|1|522|627
ENSMUSG00000025946.14	ENSMUSG00000025946	Pth2r	ENSMUST00000027083.7	chr1	+	2414	1638	776	1|1|1|1|1638|2414
ENSMUSG00000025949.17	ENSMUSG00000025949	Pikfyve	ENSMUST00000081154.14	chr1	+	11237	6156	5081	1|1|1|1|6156|11237
ENSMUSG00000025950.17	ENSMUSG00000025950	Idh1	ENSMUST00000097709.11	chr1	-	2302	1242	1060	1|1|1|1|1242|2302
ENSMUSG00000025952.16	ENSMUSG00000025952	Crygc	ENSMUST00000027089.15	chr1	-	783	522	261	1|1|1|1|522|783
ENSMUSG00000025955.14	ENSMUSG00000025955	Akr1cl	ENSMUST00000069142.12	chr1	-	1761	966	795	1|1|1|1|966|1761
ENSMUSG00000025956.11	ENSMUSG00000025956	Mettl21a	ENSMUST00000053469.2	chr1	-	2666	654	2012	1|1|1|1|654|2666
ENSMUSG00000025958.15	ENSMUSG00000025958	Creb1	ENSMUST00000087366.11	chr1	+	8364	981	7383	1|1|1|1|981|8364
ENSMUSG00000025959.14	ENSMUSG00000025959	Klf7	ENSMUST00000114086.8	chr1	-	7662	903	6759	1|1|1|1|903|7662
ENSMUSG00000025961.2	ENSMUSG00000025961	4933402D24Rik	ENSMUST00000027102.2	chr1	-	1758	501	1257	1|1|1|1|501|1758
ENSMUSG00000025962.16	ENSMUSG00000025962	Fastkd2	ENSMUST00000027103.7	chr1	+	4486	2067	2419	1|1|1|1|2067|4486
ENSMUSG00000025963.6	ENSMUSG00000025963	Mdh1b	ENSMUST00000114094.3	chr1	-	1719	1500	219	1|1|1|1|1500|1719
ENSMUSG00000025964.16	ENSMUSG00000025964	Adam23	ENSMUST00000087374.10	chr1	+	6426	2487	3939	1|1|1|1|2487|6426
ENSMUSG00000025967.17	ENSMUSG00000025967	Eef1b2	ENSMUST00000129339.8	chr1	+	1939	675	1264	1|1|1|1|675|1939
ENSMUSG00000025968.17	ENSMUSG00000025968	Ndufs1	ENSMUST00000027111.15	chr1	-	2661	2181	480	1|1|1|1|2181|2661
ENSMUSG00000025969.16	ENSMUSG00000025969	Nrp2	ENSMUST00000114157.3	chr1	+	6357	2793	3564	1|1|1|1|2793|6357
ENSMUSG00000025971.7	ENSMUSG00000025971	Maip1	ENSMUST00000027114.6	chr1	+	3540	873	2667	1|1|1|1|873|3540
ENSMUSG00000025977.16	ENSMUSG00000025977	Boll	ENSMUST00000087585.10	chr1	-	882	879	3	1|1|1|1|879|882
ENSMUSG00000025978.15	ENSMUSG00000025978	Rftn2	ENSMUST00000027121.15	chr1	-	3677	1500	2177	1|1|1|1|1500|3677
ENSMUSG00000025979.14	ENSMUSG00000025979	Mob4	ENSMUST00000162364.8	chr1	+	2840	675	2165	1|1|1|1|675|2840
ENSMUSG00000025980.15	ENSMUSG00000025980	Hspd1	ENSMUST00000027123.15	chr1	-	2423	1719	704	1|1|1|1|1719|2423
ENSMUSG00000025981.14	ENSMUSG00000025981	Coq10b	ENSMUST00000087617.11	chr1	+	834	576	258	1|1|1|1|576|834
ENSMUSG00000025982.14	ENSMUSG00000025982	Sf3b1	ENSMUST00000027127.14	chr1	-	6195	3912	2283	1|1|1|1|3912|6195
ENSMUSG00000025983.12	ENSMUSG00000025983	Ccdc150	ENSMUST00000027128.11	chr1	+	3807	3330	477	1|1|1|1|3330|3807
ENSMUSG00000025986.7	ENSMUSG00000025986	Slc39a10	ENSMUST00000027131.6	chr1	-	5498	2499	2999	1|1|1|1|2499|5498
ENSMUSG00000025991.9	ENSMUSG00000025991	Cps1	ENSMUST00000027144.8	chr1	+	5555	4500	1055	1|1|1|1|4500|5555
ENSMUSG00000025993.11	ENSMUSG00000025993	Slc40a1	ENSMUST00000027137.11	chr1	-	3370	1710	1660	1|1|1|1|1710|3370
ENSMUSG00000025995.17	ENSMUSG00000025995	Wdr75	ENSMUST00000027139.15	chr1	+	2953	2490	463	1|1|1|1|2490|2953
ENSMUSG00000025997.14	ENSMUSG00000025997	Ikzf2	ENSMUST00000027146.9	chr1	-	9278	1578	7700	1|1|1|1|1578|9278
ENSMUSG00000026000.17	ENSMUSG00000026000	Lancl1	ENSMUST00000113979.10	chr1	-	4461	1197	3264	1|1|1|1|1197|4461
ENSMUSG00000026003.6	ENSMUSG00000026003	Acadl	ENSMUST00000027153.6	chr1	-	1916	1290	626	1|1|1|1|1290|1916
ENSMUSG00000026004.16	ENSMUSG00000026004	Kansl1l	ENSMUST00000068168.10	chr1	-	4459	2841	1618	1|1|1|1|2841|4459
ENSMUSG00000026005.16	ENSMUSG00000026005	Rpe	ENSMUST00000027157.10	chr1	+	2692	684	2008	1|1|1|1|684|2692
ENSMUSG00000026009.15	ENSMUSG00000026009	Icos	ENSMUST00000102827.4	chr1	+	3241	600	2641	1|1|1|1|600|3241
ENSMUSG00000026011.14	ENSMUSG00000026011	Ctla4	ENSMUST00000027164.9	chr1	+	1933	669	1264	1|1|1|1|669|1933
ENSMUSG00000026012.3	ENSMUSG00000026012	Cd28	ENSMUST00000027165.3	chr1	+	4347	654	3693	1|1|1|1|654|4347
ENSMUSG00000026014.16	ENSMUSG00000026014	Raph1	ENSMUST00000027168.12	chr1	-	2241	2037	204	0|1|0|1|2037|2241
ENSMUSG00000026017.14	ENSMUSG00000026017	Carf	ENSMUST00000187978.7	chr1	+	5463	2067	3396	1|1|1|1|2067|5463
ENSMUSG00000026018.13	ENSMUSG00000026018	Ica1l	ENSMUST00000027172.13	chr1	-	3650	1293	2357	1|1|1|1|1293|3650
ENSMUSG00000026019.16	ENSMUSG00000026019	Wdr12	ENSMUST00000027173.15	chr1	-	10012	1269	8743	1|1|1|1|1269|10012
ENSMUSG00000026020.10	ENSMUSG00000026020	Nop58	ENSMUST00000191142.7	chr1	+	9507	1608	7899	1|1|1|1|1608|9507
ENSMUSG00000026021.16	ENSMUSG00000026021	Sumo1	ENSMUST00000091374.9	chr1	-	1215	303	912	1|1|1|1|303|1215
ENSMUSG00000026023.17	ENSMUSG00000026023	Cdk15	ENSMUST00000114248.3	chr1	+	1477	1299	178	1|1|1|1|1299|1477
ENSMUSG00000026024.15	ENSMUSG00000026024	Als2	ENSMUST00000027178.13	chr1	-	6342	4953	1389	1|1|1|1|4953|6342
ENSMUSG00000026027.14	ENSMUSG00000026027	Stradb	ENSMUST00000027185.11	chr1	+	2960	1254	1706	1|1|1|1|1254|2960
ENSMUSG00000026028.13	ENSMUSG00000026028	Trak2	ENSMUST00000027186.12	chr1	-	6189	2739	3450	1|1|1|1|2739|6189
ENSMUSG00000026029.15	ENSMUSG00000026029	Casp8	ENSMUST00000027189.15	chr1	+	2585	1440	1145	1|1|1|1|1440|2585
ENSMUSG00000026031.16	ENSMUSG00000026031	Cflar	ENSMUST00000114313.8	chr1	+	6572	1443	5129	1|1|1|1|1443|6572
ENSMUSG00000026032.9	ENSMUSG00000026032	Ndufb3	ENSMUST00000027193.9	chr1	+	763	312	451	1|1|1|1|312|763
ENSMUSG00000026034.18	ENSMUSG00000026034	Clk1	ENSMUST00000034868.14	chr1	-	1796	1449	347	1|1|1|1|1449|1796
ENSMUSG00000026035.16	ENSMUSG00000026035	Ppil3	ENSMUST00000117069.8	chr1	-	1363	483	880	1|1|1|1|483|1363
ENSMUSG00000026036.18	ENSMUSG00000026036	Nif3l1	ENSMUST00000087521.13	chr1	+	3769	1128	2641	1|1|1|1|1128|3769
ENSMUSG00000026037.15	ENSMUSG00000026037	Orc2	ENSMUST00000027198.12	chr1	-	3561	1728	1833	1|1|1|1|1728|3561
ENSMUSG00000026039.10	ENSMUSG00000026039	Sgo2a	ENSMUST00000027202.9	chr1	+	4939	3492	1447	1|1|1|1|3492|4939
ENSMUSG00000026042.17	ENSMUSG00000026042	Col5a2	ENSMUST00000086430.5	chr1	-	6625	4491	2134	1|1|1|1|4491|6625
ENSMUSG00000026043.19	ENSMUSG00000026043	Col3a1	ENSMUST00000087883.13	chr1	+	5564	4392	1172	1|1|1|1|4392|5564
ENSMUSG00000026047.14	ENSMUSG00000026047	Poglut2	ENSMUST00000065767.9	chr1	-	2359	1506	853	1|1|1|1|1506|2359
ENSMUSG00000026048.17	ENSMUSG00000026048	Ercc5	ENSMUST00000027214.4	chr1	+	3907	3510	397	1|1|1|1|3510|3907
