candidate_rank	Geneid	Chr	Start	End	Strand	Length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	gene_name	gene_type	CPM_CLIP	CPM_RNA_control	CPM_RNA_siLin28a	CPM_RNA_siLuc	CPM_RPF_siLin28a	CPM_RPF_siLuc	CLIP_enrichment	RNA_log2FC	RPF_log2FC	TE_log2FC	library_size_normalized	pseudocount_cpm	is_protein_coding	is_non_histone	pass_rna_count_filter	pass_rpf_count_filter	pass_finite_metric_filter	pass_base_filter	CLIP_group	is_top20_clip	candidate_rule	symbol_keyword_category
11	ENSMUSG00000020303.3	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	31307307;31307986;31315332;31315332;31315441;31317726;31317726;31317726;31317999;31318003;31318896;31319712;31319712;31320012	31310528;31310528;31315392;31315543;31315543;31318166;31319103;31317868;31318327;31318327;31319056;31319793;31320074;31320047	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5175	1424	190	562	548	681	429	Stc2	protein_coding	104.46818	36.532588	45.549299	56.212122	63.679604	33.172792	1.5132444	-0.30285281	0.93875221	1.241605	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
12	ENSMUSG00000036499.10	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	95776512;95776553;95776570;95776612;95776619;95809848;95809848;95809848;95809848;95809848;95814023;95825424;95825424;95825424;95826117;95826117;95826117;95826117;95826262;95826262;95826262;95826262;95829092;95829286;95829286;95829286;95830747;95830747;95830747;95830747;95831431;95831431;95831431;95831431;95832799;95832799;95832799;95832799;95838749;95838749;95838749;95838749;95846637;95846637;95846637;95847947;95847947;95847947;95849168;95849168;95849168;95853868;95853868;95853868;95855693;95855693;95855693;95857469;95857469;95857469;95859759;95859759;95859759;95861894;95861894;95861894;95862419;95862419;95862419;95862914;95864255;95867373;95872442;95873276;95874555;95875385;95876114;95877302;95877944	95776834;95776834;95776834;95776834;95776834;95809940;95809940;95809940;95811363;95809940;95814148;95825551;95825551;95825551;95826171;95826171;95826171;95826171;95826327;95826327;95826327;95826327;95829325;95829325;95829325;95829325;95830860;95830860;95830860;95830860;95831552;95831552;95831552;95831552;95832954;95832954;95832954;95832954;95838815;95838865;95838865;95838865;95846975;95846975;95846975;95848096;95848096;95848096;95849287;95849287;95849287;95854071;95854071;95854071;95855893;95855893;95855893;95857582;95857582;95857582;95859914;95859914;95859914;95862033;95862033;95862033;95862749;95862488;95862488;95863015;95864449;95867555;95872627;95873407;95874740;95875623;95876234;95877400;95881380	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9592	1098	137	451	431	192	119	Eea1	protein_coding	80.552009	26.341919	36.552907	44.210628	17.953721	9.2017768	1.6088836	-0.27372517	0.95671798	1.2304432	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	vesicle_secretory_symbol
13	ENSMUSG00000034473.15	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	35131501;35134434;35134434;35139174;35139174;35149868;35149868;35167969;35167969;35167969;35169201;35169201;35169201;35169280;35181043;35181415;35181931;35181931;35181931;35181931;35181931;35183845;35184194;35184194;35184194	35134657;35134657;35134657;35139239;35139239;35149983;35149983;35168163;35168163;35168163;35169364;35169364;35169364;35169364;35182129;35181751;35182129;35182129;35182131;35182131;35182129;35184185;35184217;35184222;35184288	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5223	431	90	214	231	194	136	Sec22a	protein_coding	31.619231	17.30491	17.344395	23.695256	18.140739	10.516316	0.86586343	-0.4479104	0.7808809	1.2287913	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	vesicle_secretory_symbol
14	ENSMUSG00000031751.15	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	94698216;94699530;94699586;94700555;94700687;94700687;94701364;94701364;94702662;94706946;94709940;94711462;94711967;94714002;94714347;94725726;94725843;94726933;94726933;94731761;94731761;94738636;94738847	94699942;94699942;94699942;94700589;94700871;94700871;94701544;94701447;94702796;94707049;94710130;94711572;94712100;94714134;94714387;94725878;94725878;94727097;94727097;94731853;94731853;94738755;94739470	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4132	424	44	234	208	199	116	Amfr	protein_coding	31.105694	8.4601783	18.965366	21.335988	18.608284	8.9697992	1.8660965	-0.16908065	1.0445347	1.2136153	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
15	ENSMUSG00000019838.12	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	39909528;39913295;39916595;39916595;39932483;39932483;39943624;39951387;39952560;39952560;39956659;39956659;40008898;40017699;40017699;40017699	39913400;39913400;39916823;39916823;39932626;39932626;39943655;39953013;39952601;39953013;39956803;39956803;40009647;40018254;40018251;40018250	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7356	203	34	79	87	162	117	Slc16a10	protein_coding	14.892584	6.5374105	6.4028373	8.9241872	15.148452	9.0471251	1.1755567	-0.47272765	0.73727251	1.2100002	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transporter_or_channel_symbol
16	ENSMUSG00000041920.15	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	109341681;109343552;109345689;109345689;109349303;109349303;109349324;109350625;109350625;109350625;109354136;109354136;109354136;109354136;109357102;109357523;109363350;109363764;109363764;109364074	109344220;109344220;109346504;109346504;109349431;109349431;109349431;109350768;109350768;109350768;109354374;109354374;109354374;109354374;109357185;109357627;109363514;109364025;109364120;109364424	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4883	237	54	171	142	192	105	Slc16a6	protein_coding	17.386909	10.382946	13.859306	14.565915	17.953721	8.1192148	0.73823107	-0.07123982	1.1352237	1.2064635	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transporter_or_channel_symbol
17	ENSMUSG00000038178.17	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	75422520;75422524;75422524;75422569;75422938;75422964;75423414;75423414;75423414;75423414;75423414;75423414;75428834;75433984;75433984;75433984;75433984;75433984;75433984;75433984;75435508;75435508;75435508;75435508;75435508;75435508;75436580;75436580;75436580;75436580;75436580;75436580;75451647;75451725;75451725;75451725;75453598;75453598;75453598;75453598;75453817;75453817;75453817;75453817;75454388;75454388;75454388;75454388;75456833;75457529;75457642;75457805;75457805;75457805;75457805;75457805;75457805;75459187;75459187;75459187;75459187;75459187;75459187;75459402;75461397;75461397;75461397;75461397;75461397;75462583;75462583;75462583;75462583;75462583;75463141;75463141;75463141;75463141	75422648;75422567;75422604;75423240;75423240;75423034;75423614;75423614;75423614;75423614;75423614;75423614;75428930;75434191;75434191;75434191;75434191;75434191;75434149;75434191;75435563;75435563;75435563;75435563;75435563;75435563;75436590;75436656;75436656;75436603;75436656;75436656;75451817;75451817;75451817;75451817;75453731;75453731;75453731;75453731;75454019;75454019;75454019;75454019;75454534;75454534;75454534;75454534;75457241;75457943;75457671;75457943;75457943;75457893;75457943;75457943;75457943;75459316;75459316;75459316;75459316;75459316;75459316;75461015;75461470;75461470;75461470;75461470;75461470;75462616;75462706;75462706;75462706;75462706;75463238;75468396;75468401;75464709	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10042	518	123	159	171	264	189	Slc43a2	protein_coding	38.001767	23.650044	12.886723	17.540644	24.686366	14.614587	0.68192773	-0.44186575	0.75229977	1.1941655	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transporter_or_channel_symbol
18	ENSMUSG00000036334.13	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	59224156;59225346;59225346;59232856;59232856;59232856;59235205;59235205;59235205;59243618;59243618;59243618;59247097;59247097;59247097;59247192;59248560;59248560;59248560;59248560;59251111;59251111;59251424;59251750	59227795;59227795;59227795;59233756;59233756;59233756;59239464;59239464;59239464;59244008;59244008;59244008;59247226;59247226;59247226;59247226;59248754;59248754;59248754;59248754;59251677;59251677;59251580;59251815	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10150	349	41	140	111	262	142	Igsf10	protein_coding	25.603507	7.883348	11.3468	11.386032	24.499348	10.980271	1.6868994	-0.0049360873	1.1506269	1.155563	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
19	ENSMUSG00000066324.3	chr4;chr4;chr4;chr4;chr4	4762484;4769312;4776314;4778193;4792723	4767972;4769473;4776409;4778355;4793355	-;-;-;-;-	6543	5148	325	998	893	406	249	Bpnt2	protein_coding	377.67007	62.489954	80.886477	91.60114	37.964639	19.254138	2.5935054	-0.17925864	0.97580934	1.155068	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
20	ENSMUSG00000075470.3	chr15;chr15;chr15;chr15;chr15;chr15	90108514;90108552;90109860;90109860;90111527;90111676	90108811;90108811;90110057;90110057;90117674;90117674	+;+;+;+;+;+	6644	4437	515	990	962	292	195	Alg10b	protein_coding	325.50935	99.022542	80.238088	98.678943	27.304617	15.078542	1.715857	-0.2981194	0.85238579	1.1505052	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
21	ENSMUSG00000021687.15	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	94337818;94339882;94340255;94344644;94344644;94344644;94347085;94347085;94347085;94361403;94361403;94361403;94361531;94366222;94366222;94366222;94366222;94368580;94368580;94368580;94368580;94369590;94369590;94369590;94369590;94382946;94389501;94389501;94389501;94401481;94421728;94422074	94340671;94340671;94340671;94344761;94344761;94344761;94347186;94347186;94347186;94361562;94361562;94361562;94361562;94366350;94366350;94366350;94366350;94368688;94368688;94368688;94368688;94369688;94369688;94369688;94369688;94383066;94389578;94389578;94389578;94401654;94422337;94422365	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4582	1629	167	377	371	526	359	Scamp1	protein_coding	119.50749	32.110222	30.555312	38.056017	49.185715	27.759982	1.8927172	-0.31577346	0.82297521	1.1387487	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
22	ENSMUSG00000045205.17	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	11261315;11261315;11267613;11267613;11273007;11273007;11276864;11276864;11276872;11277929;11277929;11277929;11279975;11281004;11281004;11281004;11285054;11285054;11285078;11287475;11287475;11287475;11287475;11289670;11289670;11289670;11289670;11290191;11290191;11290191;11290191;11290391;11290391;11292554;11292554;11292554;11292554;11295936;11295936;11295936;11295936;11303312;11303312;11303312;11303312;11303423;11303947;11303947;11303947;11303947;11304300;11304300;11304300;11304300;11309366;11309366;11309366;11309366;11317073;11317073;11317073;11317073;11317096;11319786;11321715;11322000;11322000;11322000;11322000	11265942;11265942;11267771;11267771;11273139;11273139;11276946;11276946;11276946;11277985;11277985;11277985;11281124;11281124;11281124;11281124;11285173;11285173;11285173;11287633;11287633;11287633;11287633;11289743;11289743;11289743;11289743;11290289;11290289;11290289;11290289;11290522;11290522;11292686;11292688;11292688;11292688;11296059;11296059;11296059;11296059;11303457;11303457;11303457;11303361;11303457;11304068;11304068;11304068;11304068;11304390;11304390;11304390;11304390;11309490;11309490;11309490;11309490;11317180;11317180;11317180;11317180;11317180;11319818;11322100;11322047;11322075;11322137;11322137	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8101	962	102	293	260	377	232	Dpy19l4	protein_coding	70.574711	19.612232	23.747232	26.669985	35.252879	17.939598	1.842103	-0.16679448	0.97066049	1.137455	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
23	ENSMUSG00000023845.8	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	17741672;17747327;17749963;17750739;17750739;17751400;17751400;17757176;17757176;17758782;17758782;17765073;17765073;17766646;17766646;17772380;17772860;17773132;17773132;17773424;17773424;17773424;17773424;17783015;17783015;17783015;17783015;17786945;17786945;17786945;17786945;17788583;17788583;17788583;17788583;17788642;17790024;17791136;17791136;17791136;17791136;17791136;17791888;17791888;17791888;17791888;17791888;17791888;17794209;17794209;17794209;17794209;17794209;17794209;17795511;17795511;17795511;17795511;17795511;17795511;17795769;17798794;17798794;17798794;17798794;17799479;17829523;17844656;17844656;17844656;17844656	17750142;17747617;17750142;17750820;17750820;17751540;17751540;17757337;17757337;17758966;17758966;17765229;17765229;17766829;17766829;17773220;17773220;17773220;17773220;17773584;17773584;17773584;17773584;17783146;17783146;17783146;17783146;17787076;17787076;17787076;17787076;17788696;17788696;17788696;17788696;17788696;17791290;17791290;17791290;17791290;17791290;17791290;17792008;17792008;17792008;17792008;17792008;17792008;17794340;17794340;17794340;17794340;17794340;17794340;17795649;17795649;17795649;17795649;17795649;17795649;17795821;17799634;17799634;17798956;17799634;17799634;17829694;17845312;17844903;17844751;17845309	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14144	8237	407	1044	800	1926	1034	Lnpep	protein_coding	604.28679	78.25665	84.614711	82.061491	180.09826	79.954934	2.9473445	0.044150156	1.1705229	1.1263727	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
24	ENSMUSG00000026469.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	155151447;155154728;155157929;155158414;155158959;155158959;155165036;155165941;155165941;155165941;155165941;155168855;155168855;155168855;155168855;155183368;155183368;155183368;155184697;155184697;155184697;155184697;155188505;155188505;155188505;155188917;155188917;155188917;155198518;155200060;155200060;155200060;155204345;155204345;155204345;155204345;155206084;155206084;155206084;155206084;155207909;155207909;155207909;155216039;155221299;155221299;155221299;155221299;155257338;155260357;155260357;155260357;155260357;155260357;155292912;155292912;155292912;155292912	155156816;155156816;155159180;155159180;155159180;155159180;155167773;155166077;155166077;155166077;155166077;155169021;155169021;155169021;155169021;155183562;155183562;155183562;155184868;155185388;155184868;155184868;155188684;155188684;155188684;155189107;155189107;155189107;155200141;155200141;155200141;155200141;155204428;155204428;155204428;155204428;155208132;155206233;155206233;155206233;155208132;155208132;155208132;155216143;155221400;155221400;155221400;155221400;155260166;155260408;155260408;155260408;155260408;155260408;155293141;155293161;155293153;155293075	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	17880	1563	234	779	668	337	202	Xpr1	protein_coding	114.66556	44.992767	63.136839	68.521345	31.512521	15.619823	1.3477219	-0.11789215	1.0079111	1.1258033	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
25	ENSMUSG00000073792.12	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	99603901;99603902;99603902;99603913;99603913;99603913;99607268;99607268;99607268;99607268;99607268;99607268;99607389;99615100;99615100;99615100;99615100;99615100;99615100;99615100;99626361;99626361;99626361;99627451;99627451;99627451;99629771;99629771;99630592;99630592;99631992;99631992;99632727;99632727;99632727;99634563;99634563;99634563;99634563;99636923;99636923;99636923;99636923;99638966;99638966;99638966;99638966;99641054;99641054;99641054;99641230;99641230;99641230;99650108;99650108	99603943;99603943;99603943;99603943;99603943;99603943;99607470;99607470;99607470;99607470;99607470;99607470;99607470;99615184;99615184;99615184;99615184;99615184;99618460;99615184;99626450;99626450;99626450;99627710;99627539;99627539;99629853;99629853;99630656;99630656;99632177;99632177;99632862;99632862;99632862;99634648;99634621;99634648;99634648;99637007;99637007;99637007;99637007;99639036;99639036;99639036;99641122;99641122;99641122;99641122;99641313;99641428;99641428;99651697;99650548	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8544	540	139	305	328	624	472	Alg6	protein_coding	39.615742	26.726472	24.719815	33.645211	58.349593	36.497804	0.5660536	-0.44319043	0.6754359	1.1186263	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
26	ENSMUSG00000019818.16	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	41395410;41395497;41395888;41396040;41397914;41397914;41397914;41397914;41399169;41399169;41399169;41399169;41400103;41400103;41400103;41400103;41402823;41402823;41402823;41404668;41404668	41395696;41395696;41395946;41396380;41398003;41398003;41398003;41398003;41399240;41399240;41399240;41399240;41400141;41401268;41400141;41400141;41402872;41402879;41402879;41405042;41407044	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4449	7342	782	1958	1779	4337	2806	Cd164	protein_coding	538.62737	150.36044	158.69311	182.48424	405.54837	216.97635	1.8401711	-0.20141396	0.90202714	1.1034411	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
27	ENSMUSG00000023961.17	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	44407199;44407207;44412202;44412202;44412698;44412698;44416540;44416602	44410568;44410568;44412372;44412372;44413555;44413555;44416700;44416655	-;-;-;-;-;-;-;-	4560	304	34	151	113	243	129	Enpp4	protein_coding	22.302195	6.5374105	12.238335	11.591186	22.722678	9.9750353	1.7549477	0.077726438	1.1796832	1.1019568	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
28	ENSMUSG00000055296.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	56866923;56879876;56879876;56880247;56885616;56886018;56886018;56886018;56886018;56888535;56888535;56888535;56888535;56888535;56890800;56890800;56890800;56890800;56890800;56899026;56899026;56899026;56899026;56899026;56899306;56899306;56899306;56899306;56899306;56903212;56903212;56903354;56903918;56903918;56903918;56903918;56906215;56906215;56906215;56906215;56906215;56910157;56910157;56910157;56910157;56910157;56911941;56912048;56912048;56912048;56912048;56916702;56916702;56916702;56916702;56916702;56922387;56923339;56923339;56923339;56923339;56923339;56924979;56924979;56924979;56924979;56926177;56926177;56926177;56926177;56936369;56936369;56936369;56936369;56937862;56937862;56937862;56937862;56946845;56946845;56946845	56880292;56880292;56880292;56880292;56886212;56886212;56886212;56886212;56886212;56888709;56888709;56888709;56888709;56888709;56890900;56890900;56890900;56890900;56890900;56899171;56899171;56899171;56899171;56899171;56899428;56899428;56899428;56899428;56899428;56903247;56903247;56904049;56904049;56904049;56904049;56904049;56906313;56906313;56906313;56906313;56906313;56910247;56910247;56910247;56910247;56910247;56912130;56912130;56912130;56912130;56912130;56916806;56916806;56916806;56916806;56916806;56922410;56923508;56923508;56923508;56923458;56923508;56925215;56925215;56925215;56925215;56926293;56926293;56926293;56926293;56936470;56936470;56936470;56936470;56937979;56937979;56937897;56937979;56947424;56947411;56947437	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	17090	2873	712	1523	1276	631	378	Tmem245	protein_coding	210.77042	136.90107	123.43698	130.88808	59.004156	29.229173	0.6221696	-0.08449257	1.0109232	1.0954157	True	0.1	True	True	True	True	True	True	5-20%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	transmembrane_symbol
29	ENSMUSG00000056429.5	chr6;chr6;chr6;chr6	72585415;72591055;72592507;72593660	72589093;72591138;72593432;72593983	-;-;-;-	5013	1760	165	527	448	1028	626	Tgoln1	protein_coding	129.11797	31.725669	42.712599	45.954435	96.127214	48.405985	2.021544	-0.1053047	0.98828218	1.0935869	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
30	ENSMUSG00000047694.13	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	97979922;97980879;97980907;97981367;97981367;97981792;97981792;97981792;97981813;97983379;97983379;97983379;97983379;97983379;97983379;97983728;97983728;97983728;97983728;97983728;97984393;97984393;97984393;97984393;97984393;97986384;97986384;97986384;97986384;97986384;97987084;97987084;97987084;97987084;97988479;97988479	97979951;97980927;97980978;97981894;97981894;97981894;97981894;97981894;97981894;97983507;97983507;97983487;97983507;97983507;97983507;97983806;97983806;97983806;97983806;97983806;97984435;97984435;97984435;97984435;97984435;97986512;97988512;97986512;97986512;97986512;97987641;97987241;97987241;97987241;97992623;97988737	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7149	925	128	282	285	177	128	Yipf6	protein_coding	67.860299	24.611428	22.855698	29.234406	16.551086	9.8977095	1.4595138	-0.3537415	0.7359468	1.0896883	True	0.1	True	True	True	True	True	True	top 5%	True	CLIP top20%; abs(RNA_log2FC)<=0.5; TE_log2FC>=0.75	other
