Geneid	Chr	Start	End	Strand	Length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	gene_name	gene_type	CPM_CLIP	CPM_RNA_control	CPM_RNA_siLin28a	CPM_RNA_siLuc	CPM_RPF_siLin28a	CPM_RPF_siLuc	CLIP_enrichment	RNA_log2FC	RPF_log2FC	TE_log2FC	library_size_normalized	pseudocount_cpm	is_protein_coding	is_non_histone	pass_rna_count_filter	pass_rpf_count_filter	pass_finite_metric_filter	pass_base_filter	CLIP_group	is_top20_clip
ENSMUSG00000037692.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	132738571;132738817;132738817;132738854;132738876;132739149;132739361;132739403;132739501;132739501;132739501;132739501;132739504;132739515;132766804;132782324;132782324;132782324;132782324;132782324;132782324;132782324;132782324;132782324;132782471;132782606;132782606;132787973;132787973;132787973;132787987;132787987;132787987;132788092;132788092;132788092;132788338;132788338;132788338;132788338;132788338;132788338;132788340;132788687;132788687;132788687;132788687;132788687;132788687;132789026;132793560;132798887;132804298;132804298;132804298;132804298;132804361	132738834;132738834;132738834;132738936;132739269;132739269;132739598;132739598;132739598;132739598;132739598;132739598;132739598;132739598;132767097;132782514;132782514;132782514;132782514;132782394;132782514;132782514;132782514;132782514;132782514;132782816;132782816;132788203;132788133;132788203;132788203;132788203;132788203;132788203;132788203;132788131;132788375;132788375;132788375;132788375;132788375;132788375;132788422;132793588;132793588;132789087;132788837;132793588;132793588;132789998;132793588;132799374;132804553;132804956;132805421;132805174;132804939	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8444	463	809	1769	974	287	526	Ahdc1	protein_coding	33.966831	155.55192	143.37493	99.909866	26.837072	40.6734	-2.1918837	0.52065632	-0.5980352	-1.1186915	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028868.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	132857816;132857851;132857940;132887697;132903312;132903682;132903752;132903752;132903752;132903752;132912280;132912280;132912280;132912910;132912910;132916329;132916389;132916389;132917440;132917440;132917440;132919416;132919416;132921707;132921707;132923028;132923028	132858039;132858034;132858039;132887841;132903362;132903923;132903871;132903923;132903923;132903923;132912406;132912414;132912414;132913063;132913063;132916506;132916506;132916506;132917570;132917860;132917570;132919571;132919571;132922218;132922218;132923815;132927067	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6258	1172	881	2643	1428	522	824	Wasf2	protein_coding	85.980833	169.39584	214.21138	146.47976	48.811679	63.716505	-0.97748596	0.54802254	-0.38375061	-0.93177315	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028857.17	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	132993356;132994141;132994187;132994198;132994213;132995507;132995507;132995507;132995507;132995507;132995720;132995720;132995720;132995720;132995720;132997089;132997089;132997089;132997089;132997981;132998207;132998274;132998274;132998274;133004842;133004842;133004842;133004842;133004842	132994232;132994232;132994232;132994232;132994232;132995637;132995637;132995637;132995637;132995637;132995816;132995816;132995816;132995816;132995816;132997427;132997120;132997120;132997120;132998125;132998358;132998358;132998358;132998358;133005062;133005081;133004973;133004929;133005103	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2003	156	160	389	279	219	197	Tmem222	protein_coding	11.444548	30.764285	31.527895	28.618945	20.478463	15.233194	-1.4187267	0.1391948	0.42447702	0.28528222	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000037622.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133019770;133019793;133022509;133022509;133023727;133023727;133024731;133024731;133027872;133027872;133029030;133029030;133029694;133029694;133030862;133030862;133031462;133031462;133033135;133033135;133036060;133036060;133036103;133040488;133040618;133040618;133040618;133041071;133041071;133041071;133041071;133041110;133049483;133049483;133049483;133049483;133049483;133051139;133051139;133051139;133051139;133054454;133066307;133066307;133080097;133080097;133080601	133021696;133021696;133022643;133022701;133023904;133023904;133024966;133024966;133028045;133028045;133029138;133029138;133029766;133029766;133030977;133030977;133031556;133031556;133033317;133033317;133036247;133036247;133036247;133040729;133040729;133040729;133040729;133041117;133041117;133041117;133041117;133041117;133049566;133049541;133049566;133049566;133049566;133051285;133051285;133051285;133051285;133054576;133066582;133066635;133080260;133080189;133080792	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4800	867	974	2719	1788	585	1086	Wdtc1	protein_coding	63.605275	187.27758	220.37107	183.40743	54.702743	83.975879	-1.5564636	0.26475088	-0.61744384	-0.88219472	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028854.10	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133097017;133097955;133138987;133139148;133142612;133143592;133143617;133145211;133145211;133146765;133146765;133146792;133147236;133147258;133147283;133147413;133147413;133147413;133147816;133147816;133147816;133148097;133148097;133148813;133148813;133149298;133149298	133098218;133098218;133139447;133139608;133142862;133143809;133143809;133145413;133145413;133146854;133146854;133147306;133147306;133147306;133147586;133147586;133147476;133147586;133147930;133147866;133147930;133148198;133148198;133148885;133148885;133149631;133151013	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5324	252	223	529	315	670	412	Slc9a1	protein_coding	18.487346	42.877722	42.874696	32.311712	62.651005	31.858252	-1.2092682	0.40697219	0.97345005	0.56647787	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028851.7	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133259853;133260453;133260506;133260717;133260717;133261539;133261539;133262821;133262821;133262979;133262979;133268450;133273116	133260110;133260624;133260624;133260748;133260800;133261853;133261853;133262886;133262886;133263238;133263182;133268527;133273307	-;-;-;-;-;-;-;-;-;-;-;-;-	1425	2407	1314	3099	2663	1288	2373	Nudc	protein_coding	176.5835	252.65169	251.16953	273.16219	120.43954	183.49425	-0.5165534	-0.12105011	-0.6070144	-0.48596428	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000028848.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133311673;133311730;133311739;133313221;133313221;133313221;133315811;133315811;133317078;133317078;133318637;133318637	133312180;133312111;133312180;133313492;133313377;133313377;133315971;133315971;133317208;133317208;133318801;133319046	+;+;+;+;+;+;+;+;+;+;+;+	1482	93	230	470	400	195	284	Gpn2	protein_coding	6.8227111	44.223659	38.09283	41.030746	18.234248	21.960543	-2.6786679	-0.10691541	-0.26692722	-0.16001181	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000047281.4	chr4	133327867	133329479	-	1613	14	138	428	156	143	177	Sfn	protein_coding	1.0270748	26.534196	34.68879	16.001991	13.371782	13.686676	-4.5626246	1.1113834	-0.033334036	-1.1447175	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000037553.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133332610;133335980;133336050;133337681;133337681;133337681;133340234;133340234;133340234;133340627;133340950;133340950;133341112;133341112;133341112;133342491;133342491;133342491;133354511;133354588;133360390;133377234	133336084;133336084;133336084;133337793;133337793;133337793;133340345;133340336;133340336;133340998;133340998;133340998;133341249;133341249;133341249;133342653;133342878;133342640;133354671;133354671;133360780;133377465	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5382	670	475	1268	619	364	214	Zdhhc18	protein_coding	49.152865	91.331471	102.76959	63.495079	34.037263	16.547733	-0.89248318	0.69382955	1.0360216	0.34219209	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000043257.16	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133387698;133389565;133391969;133396068;133397049;133397049;133397049;133399630;133399630;133399630	133390102;133390102;133393090;133396268;133397171;133397171;133397171;133399958;133399958;133399958	-;-;-;-;-;-;-;-;-;-	4180	151	96	149	125	142	104	Pigv	protein_coding	11.077735	18.458571	12.076238	12.822108	13.278273	8.041889	-0.73145771	-0.085773032	0.71645641	0.80222945	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000007880.17	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133406319;133406319;133407252;133411746;133411746;133411746;133412185;133412185;133412185;133413540;133413540;133413540;133413715;133413715;133413730;133413951;133413951;133413951;133414515;133414515;133414515;133414849;133414849;133414849;133416365;133416365;133416365;133416798;133418381;133418381;133418381;133420110;133420110;133420110;133420110;133420316;133420316;133420316;133420316;133421069;133421069;133421069;133421069;133421974;133421974;133421974;133421974;133422883;133422883;133422883;133422883;133423227;133423227;133423227;133446671;133446848;133446848;133446848;133446848;133447861;133447861;133447861;133447861;133447861;133448090;133450150;133450150;133450150;133450150;133450150;133479780;133479780;133481225;133483706	133409366;133409366;133409366;133411876;133411876;133411876;133413076;133413076;133413076;133413636;133413636;133413636;133413867;133413867;133413867;133414101;133414101;133414101;133414687;133414690;133414687;133414981;133414981;133414981;133416572;133416572;133416572;133418590;133418590;133418590;133418590;133420219;133420219;133420219;133420219;133420461;133420461;133420461;133420461;133421381;133421381;133421381;133421381;133422141;133422141;133422141;133422141;133423467;133422972;133422972;133422972;133423467;133423467;133423467;133446964;133446964;133446964;133446964;133446964;133448087;133448310;133448310;133448310;133448310;133448310;133451190;133450362;133450362;133450362;133450362;133480922;133480922;133481293;133484080	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11476	2619	2278	6001	3523	2394	3286	Arid1a	protein_coding	192.13635	438.00651	486.37249	361.37829	223.86046	254.09276	-1.1884005	0.42844922	-0.18267891	-0.61112813	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000003644.18	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133574601;133574605;133574605;133575136;133575274;133575363;133575833;133575833;133575833;133575833;133575833;133575833;133577868;133578012;133578012;133578012;133578012;133578012;133578012;133578249;133578249;133578249;133578249;133578249;133578249;133578249;133578476;133578476;133578476;133578476;133578476;133578476;133578476;133587364;133587364;133587364;133587364;133587364;133587364;133587364;133587476;133587822;133587822;133587822;133587822;133587822;133587822;133587822;133587822;133588128;133588128;133588128;133588128;133588128;133588128;133588128;133588128;133588727;133588727;133588727;133588727;133588727;133588727;133590959;133590959;133590959;133590959;133590959;133590959;133591317;133591317;133591317;133591317;133591317;133591317;133592336;133592336;133592336;133592336;133592336;133592336;133592672;133592672;133592672;133592672;133592672;133592672;133593074;133593074;133593074;133593074;133593074;133593074;133593673;133593673;133593673;133593673;133593673;133593673;133594434;133594434;133594434;133594434;133594434;133594434;133596577;133596577;133596577;133596577;133596577;133596577;133596810;133596810;133596810;133596810;133596810;133596810;133598861;133598861;133598861;133598861;133598861;133598861;133599198;133599198;133599198;133599198;133599198;133599275;133599910;133600155;133601919;133608228;133608228;133608228;133608228;133613484;133614881;133614881;133614881	133575485;133575485;133575485;133575485;133575485;133575485;133575970;133575970;133575970;133575970;133575970;133575970;133578129;133578129;133578129;133578129;133578129;133578129;133578129;133578325;133578325;133578325;133578325;133578325;133578325;133578325;133578637;133578637;133578637;133578637;133578637;133578637;133578637;133587522;133587522;133587522;133587522;133587522;133587522;133587522;133587522;133587911;133587911;133587911;133587911;133587911;133587911;133587911;133587911;133588353;133588241;133588253;133588253;133588253;133588253;133588253;133588253;133588857;133588857;133588857;133588857;133588857;133588857;133591061;133591061;133591061;133591061;133591061;133591061;133591381;133591381;133591381;133591381;133591381;133591381;133592424;133592424;133592424;133592424;133592424;133592424;133592742;133592742;133592742;133592709;133592742;133592742;133593216;133593216;133593216;133593216;133593216;133593216;133593710;133593710;133593710;133593710;133593710;133593710;133594540;133594540;133594540;133594540;133594540;133594540;133596656;133596656;133596656;133596656;133596656;133596656;133596890;133596890;133596890;133596890;133596890;133596890;133598942;133598942;133598942;133598942;133598942;133598942;133599314;133599624;133599314;133599314;133599314;133599314;133600047;133600350;133602042;133608272;133608272;133608272;133608272;133613594;133614885;133615095;133615108	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4258	828	951	2939	1647	809	1271	Rps6ka1	protein_coding	60.744138	182.85522	238.20176	168.9441	75.648751	98.281162	-1.5883004	0.49538998	-0.37715999	-0.87254997	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000012117.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133696339;133696368;133696369;133696374;133696486;133697504;133698232;133698260;133698292;133698554;133707435;133707435;133707435;133707435;133707435;133707435;133707435;133707435;133707435;133707505;133710111;133710111;133710111;133710111;133710111;133710111;133710111;133710111;133710111;133710111;133718590;133718590;133718590;133718590;133718590;133718590;133718590;133718590;133719775;133719775;133719775;133719775;133719775;133719775;133719775;133719775;133719775;133721473;133721473;133721473;133721473;133721473;133721473;133721473;133721473;133721473;133721473;133723917;133723917;133724133;133724133;133724133;133724133;133724133;133724133;133724133;133724133;133724133;133727580;133727580;133727580;133727580;133727580;133727580;133727580;133727580;133728036;133728036;133728036;133728036;133728178	133698564;133698564;133698564;133698564;133698564;133698567;133698564;133698564;133698564;133698564;133707542;133707542;133707542;133707542;133707542;133707542;133707921;133707542;133707542;133707542;133710225;133710225;133710225;133710225;133710225;133710225;133710225;133710225;133710225;133710225;133718691;133718691;133718691;133718691;133718691;133718691;133718691;133718691;133719891;133719891;133719891;133719891;133719891;133719891;133719891;133719891;133719891;133721615;133721615;133721615;133721615;133721510;133721615;133721615;133721640;133721615;133721615;133724046;133724042;133724235;133724249;133724249;133724249;133724249;133724249;133724249;133724249;133724249;133727704;133727704;133727704;133727704;133727704;133727704;133727650;133727704;133728182;133728182;133728198;133728201;133728229	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3784	102	141	328	213	136	135	Dhdds	protein_coding	7.4829735	27.111026	26.583932	21.848872	12.717219	10.43899	-1.8433558	0.28182448	0.28234659	0.00052210578	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000050966.10	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133730641;133733555;133733561;133735222;133735222;133735222;133735259;133735562;133736539;133739567;133745364;133745364;133746022	133733632;133733632;133733632;133735406;133735406;133735406;133735406;133735604;133736722;133739697;133745693;133745560;133746152	-;-;-;-;-;-;-;-;-;-;-;-;-	3996	4099	1956	1401	3385	176	869	Lin28a	protein_coding	300.71283	376.09338	113.54905	347.22269	16.457578	67.196168	-0.32260838	-1.611691	-2.0230328	-0.41134176	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000028843.9	chr4;chr4;chr4;chr4;chr4;chr4;chr4	133854717;133854724;133855151;133855229;133855927;133855927;133855927	133855117;133855117;133855396;133855396;133856048;133856100;133856050	-;-;-;-;-;-;-	821	108	216	497	288	857	796	Sh3bgrl3	protein_coding	7.9231484	41.531785	40.281141	29.542137	80.137181	61.551381	-2.375445	0.44603223	0.38013772	-0.065894514	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000037443.14	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	133857169;133857177;133858409;133859543;133859543;133859543;133859543;133859902;133861380;133861380;133861380;133864882;133864882;133864882;133866146;133866146;133866146;133875321;133875321;133875920;133875920;133879415;133879415;133879556;133881120;133881120;133881120;133881574;133881574;133881574;133882988;133882988;133883212;133883408;133884122;133891423;133891939;133894600;133894600;133894600;133894600;133899993;133900124;133900124;133900124;133900124;133914254;133914254;133914254;133914254;133914254	133858750;133858750;133858750;133859768;133859768;133859768;133859768;133859953;133861487;133861487;133861487;133864932;133864932;133864932;133866239;133866588;133866239;133875475;133875475;133876072;133876072;133879600;133879600;133879600;133881237;133881237;133881237;133881794;133881701;133881707;133883682;133883682;133883682;133883682;133884232;133892068;133892068;133894752;133894752;133894752;133894752;133900191;133900191;133900191;133900191;133900191;133914396;133914362;133914396;133914292;133914423	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5269	399	506	1229	967	201	573	Cep85	protein_coding	29.271632	97.292051	99.608697	99.191828	18.795302	44.307715	-1.7293806	0.0060443751	-1.2327828	-1.2388272	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028836.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134070492;134070517;134070777;134071020;134071319;134071319;134071319;134073214;134073214;134073214;134074651;134074651;134074651;134074651;134075788;134075788;134075788;134075788;134076596;134076596;134076596;134076596;134079262;134079262;134079262;134079262;134079694;134079694;134079694;134079694	134070647;134070647;134070863;134071527;134071527;134071527;134071527;134073360;134073360;134073360;134074804;134074804;134074804;134074804;134075956;134075956;134075956;134075956;134076701;134076701;134076701;134076701;134079396;134079396;134079396;134079396;134080497;134081788;134081795;134079988	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3564	1053	220	424	572	565	685	Slc30a2	protein_coding	77.250697	42.300892	34.364595	58.673966	52.832564	52.968211	0.86731969	-0.77006218	-0.0036923704	0.76636981	True	0.1	True	True	True	True	True	True	5-20%	True
ENSMUSG00000028832.12	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134195631;134195710;134195717;134195720;134197053;134197332;134197414;134197414;134197414;134197978;134197978;134197978;134197978;134200115;134200115;134200115;134200115;134200633;134200643;134200643	134195740;134195740;134195740;134195740;134197486;134197486;134197486;134197486;134197994;134198150;134198150;134198150;134198150;134200306;134200306;134200236;134200306;134200975;134200810;134201154	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1922	1543	916	1915	1999	651	1068	Stmn1	protein_coding	113.19831	176.12553	155.20802	205.05115	60.874335	82.584014	-0.63729655	-0.40155493	-0.4394063	-0.037851375	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000078521.3	chr4;chr4;chr4	134238310;134248783;134250265	134238480;134248912;134251238	+;+;+	1275	102	114	219	189	112	273	Aunip	protein_coding	7.4829735	21.919553	17.749638	19.387027	10.473004	21.109959	-1.5379496	-0.12661924	-1.0043565	-0.87773725	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000046671.19	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134252861;134252868;134252875;134255696;134256400;134256400;134256400;134256453;134256488;134256560;134257586;134257586;134257586;134257586;134257586;134257586;134257586;134257991;134257991;134257991;134257991;134257991;134257991;134259455;134259455;134259455;134259455;134259455;134259455;134259455;134259938;134259938;134259938;134259938;134259938;134259938;134259938;134262216;134262216;134262393;134262557;134262561;134262561	134253823;134253823;134253823;134256721;134256612;134256721;134256721;134256721;134256721;134256721;134258100;134257797;134257797;134257797;134257797;134257797;134257797;134258100;134258100;134258100;134258100;134258100;134258100;134259559;134259559;134259559;134259559;134259559;134259559;134259559;134260063;134260063;134262569;134260063;134260063;134260063;134260063;134262355;134262407;134262579;134262609;134262698;134262698	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5370	550	331	598	455	255	316	Mtfr1l	protein_coding	40.349367	63.643614	48.467047	46.672473	23.844786	24.43497	-0.6561637	0.054318061	-0.035128008	-0.089446069	True	0.1	True	True	True	True	True	True	50-100%	False
ENSMUSG00000028826.15	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134530070;134530070;134533828;134536911;134536911;134538447;134538447;134538505;134539851;134539851;134555318;134555318;134555699;134557860;134557860;134557860;134559158;134560509;134560509;134560509;134563634;134563634;134563634;134564078;134564571;134565160;134565160;134565160;134580349;134580349;134580349;134580349	134531875;134534002;134534002;134537031;134537031;134538629;134538524;134538629;134540009;134540009;134555819;134555819;134555819;134558038;134558038;134558038;134559266;134560632;134560632;134560632;134563760;134563760;134563760;134564345;134565301;134565301;134565301;134565301;134580628;134580574;134580460;134580656	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6744	5319	553	942	994	486	533	Maco1	protein_coding	390.21506	106.32906	76.347757	101.9614	45.445356	41.214681	1.874747	-0.41689131	0.14064943	0.55754074	True	0.1	True	True	True	True	True	True	top 5%	True
ENSMUSG00000028825.8	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134591847;134603626;134607121;134607201;134611325;134611325;134611830;134611830;134612561;134612561;134617613;134617613;134619534;134621645;134623265	134592056;134603812;134607351;134607351;134611487;134611487;134611993;134611993;134612698;134612698;134617617;134617740;134619613;134621718;134623483	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1594	73	39	45	41	70	116	Rhd	protein_coding	5.3554614	7.4987944	3.6471858	4.2056514	6.5456274	8.9697992	-0.47806933	-0.200424	-0.4486652	-0.2482412	True	0.1	True	True	True	True	True	True	20-50%	False
ENSMUSG00000028822.12	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	134625160;134625702;134628011;134628011;134630961;134630961;134632655;134632655;134636924;134636924;134640402;134640402;134642200;134642200	134625787;134625787;134628071;134628071;134631053;134631053;134632722;134632722;134637036;134637036;134640572;134640506;134642326;134642335	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1270	977	200	495	435	718	792	Tmem50a	protein_coding	71.675148	38.455356	40.119044	44.620936	67.139436	61.242077	0.89655311	-0.15307159	0.13243059	0.28550217	True	0.1	True	True	True	True	True	True	5-20%	True
