gene_id	gene_id_base	featurecounts_gene_length	CLIP-35L33G.bam	RNA-control.bam	RNA-siLin28a.bam	RNA-siLuc.bam	RPF-siLin28a.bam	RPF-siLuc.bam	CLIP-35L33G_raw	CLIP-35L33G_cpm	RNA-control_raw	RNA-control_cpm	RNA-siLin28a_raw	RNA-siLin28a_cpm	RNA-siLuc_raw	RNA-siLuc_cpm	RPF-siLin28a_raw	RPF-siLin28a_cpm	RPF-siLuc_raw	RPF-siLuc_cpm	total_CLIP_enrichment_featureCounts	delta_rd	rna_expression_cpm	log_rna_expression	log_featurecounts_gene_length	response_eligible	baseline_eligible	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds	chrom	strand	transcript_length	cds_length	utr_length	clip_points_5utr_cpm	rna_control_reads_5utr_cpm	E_5utr	clip_points_cds_cpm	rna_control_reads_cds_cpm	E_cds	clip_points_3utr_cpm	rna_control_reads_3utr_cpm	E_3utr	clip_points_total	rna_control_total	clip_points_total_cpm	rna_control_total_cpm	total_CLIP_amount_point	f_5utr	raw_f_5utr	f_cds	raw_f_cds	f_3utr	raw_f_3utr	has_all_regions	composition_eligible	log_transcript_length	pred_M1	pred_M2
ENSMUSG00000042414.8	ENSMUSG00000042414	2564	227	157	702	414	121	143	227.0	16.653284126669135	157.0	30.187454478472308	702.0	56.89609897003472	414.0	42.466821769723765	121.0	11.314584536871612	143.0	11.057597323288189	-0.8542763982192709	-0.3882818438473891	43.18345840607693	5.43574387191624	11.324743110494417	True	True	Prdm14	ENSMUST00000047577.7	121	8	98	36	10	124	806	75	1683	chr1	-	2564	1683	881	0.4254848852344938	1.2494961406812704	0.38939339609316076	5.212189844122548	15.49375214444775	0.3406614261221271	6.435458889171718	4.4981861064525726	1.4213123909883936	227	170	12.073133618528761	21.241434391581596	-0.8099565495791927	0.18099810841371913	0.03524229074889868	0.15834648033649049	0.43171806167400884	0.6606554112497903	0.5330396475770925	True	True	11.324743110494417	-0.1810809201939551	-0.1323126387426419
ENSMUSG00000005886.15	ENSMUSG00000005886	15642	687	517	2380	1088	671	718	687.0	50.40002729084447	517.0	99.40709532082919	2380.0	192.89560619470458	1088.0	111.60362822574747	671.0	62.7445142499244	718.0	55.51996418266378	-0.9785152327062189	-0.6127079560153645	134.63544324709375	7.073985603089017	13.933229597442672	True	True	Ncoa2	ENSMUST00000006037.13	0	6	357	28	27	376	289	222	4386	chr1	-	4897	4386	511	0.3191136639258703	3.3736395798394296	0.12065548376358726	18.987263003589284	46.98105488961576	0.40541281516186223	0.0	3.4985891939075566	0.027788667894990873	363	431	19.306376667515156	53.85328366336275	-1.475179986594122	0.21784592591881866	0.01652892561983471	0.7319810699308157	0.9834710743801653	0.05017300415036562	0.0	True	True	12.257977058563979	-0.5878550290870762	-0.6959147897884757
ENSMUSG00000025935.11	ENSMUSG00000025935	3162	1887	378	904	825	1191	988	1887.0	138.4350094582584	378.0	72.68062288447473	904.0	73.2679109243752	825.0	84.62591294691329	1191.0	111.36917506953793	988.0	76.3979451427184	0.9286243052057739	0.7508059826157715	76.85814891858774	6.266002193136547	11.627077840517394	True	True	Tram1	ENSMUST00000027068.11	716	27	1086	141	44	281	1628	188	1122	chr1	-	2938	1122	1816	1.4360114876664165	5.497783018997589	0.2743963962971674	57.75957317058253	35.11084155314369	1.6432317609692777	38.080897228487196	17.61789558360591	2.1549340918238267	1829	466	97.27648188673614	58.226520155747195	0.7394213749900634	0.06737684521788759	0.014762165117550574	0.40348843319370814	0.5937670858392564	0.5291347215884044	0.391470749043193	True	True	11.521109643651332	0.043350620879279746	0.03488958218895542
ENSMUSG00000025937.7	ENSMUSG00000025937	4566	1835	572	1412	1710	396	941	1835.0	134.62016023100378	572.0	109.98231822730038	1412.0	114.44058653232055	1710.0	175.40643774451118	396.0	37.02954939339801	941.0	72.76362993856074	0.2913830021675346	-0.35696600807394036	133.27644750137736	7.059360118119471	12.157031074378354	True	True	Lactb2	ENSMUST00000027071.7	903	18	902	277	56	429	3534	96	864	chr1	-	4494	864	3630	0.957340991777611	6.997178387815113	0.14898047280210983	47.973420810189175	53.603384435226495	0.8951655713276728	48.026606420843486	34.61104309687119	1.3864926584468318	1823	762	96.95736822281026	95.21160591991278	0.026185841797664033	0.06129272632916693	0.009873834339001646	0.36828409355069786	0.4947888096544158	0.570423180120135	0.4953373560065826	True	True	12.13410540040181	-0.256822621344513	-0.25997146607654525
ENSMUSG00000025930.7	ENSMUSG00000025930	2546	35	75	241	164	77	83	35.0	2.567686979882906	75.0	14.42075850882435	241.0	19.532706341564626	164.0	16.822605725204582	77.0	7.20019015982739	83.0	6.418045998831606	-2.4444555170444615	-0.05081281853899917	16.925356858531185	4.0896131329272105	11.314583244274194	True	True	Msc	ENSMUST00000027062.7	29	0	16	56	13	35	896	242	603	chr1	-	1741	603	1138	0.0	1.6243449828856513	0.05799303561208055	0.8509697704689876	4.373236492384446	0.21259098911671356	1.54238270897504	6.997178387815113	0.23141347437381413	45	104	2.3933524794440273	12.99475986308521	-2.3928308504119196	0.1155245508508535	0.0	0.42349013590057744	0.35555555555555557	0.46098531324856906	0.6444444444444445	True	True	10.766528908598865	-0.3189730565017597	-0.35601583192242425
ENSMUSG00000025925.15	ENSMUSG00000025925	4608	4023	982	3027	2817	1332	1593	4023.0	295.13727771625514	982.0	188.81579807554016	3027.0	245.33403359301298	2817.0	288.95902638964213	1332.0	124.55393886870239	1593.0	123.18008766432227	0.6441315406609214	0.25201748437867083	241.0362860193984	7.91370495279012	12.170238052336648	True	True	Terf1	ENSMUST00000188371.7	410	24	3514	139	8	1034	973	32	1263	chr1	+	2268	1263	1005	1.2764546557034813	0.9995969125450163	1.2517811208815401	186.8942358392514	129.19790094644335	1.4462279315478332	21.806100368267806	17.367996355469657	1.2540705827093026	3948	1181	209.97679086322265	147.56549421445803	0.5085840396553497	0.31673985254540954	0.0060790273556231	0.36594098931842145	0.8900709219858156	0.31731915813616896	0.1038500506585613	True	True	11.147840893672337	-0.09829332492112616	-0.08737556791353891
ENSMUSG00000043716.14	ENSMUSG00000043716	2687	3379	4658	5150	4031	1838	3180	3379.0	247.89183728640973	4658.0	895.625241788051	5150.0	417.4001562616507	4031.0	413.48733950182725	1838.0	171.86947420471097	3180.0	245.8962201961989	-1.8527636275821036	-0.5300683633827336	575.5042458505096	9.168933423696027	11.39231742277876	True	True	Rpl7	ENSMUST00000058437.14	28	138	3179	1148	204	12849	69	284	810	chr1	-	1163	810	353	7.339614270295018	25.489721269897913	0.2907266629373762	169.07705627005694	1605.4775911613642	0.10536834669427961	1.489197098320728	143.44215695020984	0.011071291752094611	3345	14201	177.9058676386727	1774.4094693814718	-3.317423570228992	0.7140243727178421	0.04125560538116592	0.258784546599722	0.9503736920777279	0.027191080682436003	0.00837070254110613	True	True	10.184875342908283	-0.8764099159217924	-0.8470931721148843
ENSMUSG00000025939.20	ENSMUSG00000025939	4930	355	115	302	233	81	114	355.0	26.04368222452662	115.0	22.11182971353067	302.0	24.476669357479327	233.0	23.900409353491874	81.0	7.574226012285956	114.0	8.815147516467508	0.23513411210176147	-0.2504678171992555	23.49630280816729	4.560488923195933	12.267664537501119	True	True	Ube2w	ENSMUST00000117146.9	292	0	28	71	6	73	1490	238	453	chr1	-	2181	453	1728	0.0	0.7496976844087622	0.11768891669933425	1.489197098320728	9.121321826973274	0.17233940297714914	15.530198311059022	8.87142259883702	1.7422207168220112	320	150	17.01939540937975	18.742442110219056	-0.13835420803075682	0.05791067658819452	0.0	0.08480230517126232	0.0875	0.8572870182405431	0.9125	True	True	11.091435386323607	0.06658528617038598	0.13515066474584203
ENSMUSG00000079658.10	ENSMUSG00000079658	3026	798	540	860	924	1168	1447	798.0	58.54326314133026	540.0	103.82946126353532	860.0	69.7017736669941	924.0	94.78102250054289	1168.0	109.21846891790118	1447.0	111.89051277481126	-0.8255673902126183	0.4080165004876847	89.43741914369076	6.484418829007084	11.563672959827514	True	True	Eloc	ENSMUST00000188641.7	448	47	224	93	110	457	1566	112	336	chr1	-	2014	336	1678	2.499723700752651	13.744457547493973	0.18778082794751572	11.913576786565825	57.10197362913405	0.21002031965636728	23.82715357313165	11.620314108335814	2.0415112898820684	719	660	38.240454060450126	82.46674528496384	-1.1066934137187738	0.07698104804526384	0.06536856745479833	0.08609816292037695	0.31154381084840055	0.8369207890343591	0.6230876216968011	True	True	10.97656412341533	-0.28763077435359186	-0.22031739242965048
ENSMUSG00000025940.7	ENSMUSG00000025940	1820	636	125	306	361	386	357	636.0	46.65854054872938	125.0	24.03459751470725	306.0	24.80086365360488	361.0	37.0302479682857	386.0	36.09445976225159	357.0	27.605330380516666	0.9541271328436691	0.9620044806982986	28.62190304553261	4.844079436784915	10.830515206976838	True	True	Tmem70	ENSMUST00000177501.2	301	0	330	73	5	64	773	101	762	chr1	+	1636	762	874	0.0	0.6247480703406352	0.13797898068635012	17.551251515922868	7.99677530036013	2.180034749777207	16.008868806947827	9.121321826973274	1.7469153673639068	631	142	33.560120322870695	17.74284519767404	0.9156946498546967	0.03394376073129889	0.0	0.5363032656442507	0.5229793977812995	0.42975297362445025	0.47702060221870046	True	True	10.676838606474153	0.3173540748201381	0.27165848098844725
ENSMUSG00000041859.11	ENSMUSG00000041859	3752	3066	5331	12838	10731	1431	3846	3066.0	224.92937943774257	5331.0	1025.0275148072349	12838.0	1040.5015934149656	10731.0	1100.7523294949413	1431.0	133.81132621705189	3846.0	297.39523989766695	-2.187618102032615	-1.0703854613083288	1055.4271459057138	10.043747966862032	11.873828574886977	True	True	Mcm3	ENSMUST00000053266.11	650	74	2317	574	223	5743	491	104	2436	chr1	-	3031	2436	595	3.9357351884190677	27.863763937192328	0.14432017082834347	123.23105988604026	717.5856335932535	0.17184551858528327	34.57064692530262	71.72107847510492	0.4827363729621574	3041	6540	161.73744199976196	817.1704760055508	-2.3362681959505656	0.18064813902114923	0.024334100624794474	0.21510210910489716	0.761920420914173	0.6042497518739537	0.21374547846103256	True	True	11.566054038171092	-0.9333966098142751	-0.8991615085410619
ENSMUSG00000025931.16	ENSMUSG00000025931	5488	405	71	283	141	302	143	405.0	29.7118064815022	71.0	13.651651388353718	283.0	22.936746450882943	141.0	14.463337849108816	302.0	28.23970686062171	143.0	11.057597323288189	1.1162789224731904	0.6832025221386971	17.01724522944849	4.097378634617161	12.422327623974558	True	True	Paqr8	ENSMUST00000189400.7	368	14	23	45	9	23	3965	303	1062	chr1	+	5330	1062	4268	0.744598549160364	1.1245465266131431	0.6897235268768095	1.2232690450491694	2.8738411235669217	0.44496965038333913	19.57230472078671	5.6227326330657155	3.4375718703195988	405	77	21.540172314996248	9.621120283245782	1.15451749914268	0.1508494192045807	0.0345679012345679	0.09731930361711563	0.056790123456790124	0.7518312771783036	0.908641975308642	True	True	12.380190466749834	0.2036181857510753	0.2754647216158022
ENSMUSG00000041670.20	ENSMUSG00000041670	8103	212	69	216	121	33	33	212.0	15.55284684957646	69.0	13.267097828118402	216.0	17.506491990779914	121.0	12.411800565547281	33.0	3.085795782783167	33.0	2.5517532284511204	0.22773879862685706	-0.22811080116211715	14.395130128148532	3.8574963799522037	12.984418458801137	True	True	Rims1	ENSMUST00000164877.8	72	0	25	13	5	16	1510	127	657	chr1	-	2294	657	1637	0.0	0.6247480703406352	0.13797898068635012	1.3296402663577929	1.9991938250900325	0.6810425265501517	3.829363967110444	1.6243449828856513	2.278757444774621	97	34	5.159004233468237	4.2482868783163195	0.274342532840109	0.04454126095626422	0.0	0.21984865192140618	0.25773195876288657	0.7356100871223296	0.7422680412371134	True	True	11.16427843830117	0.20414891176757688	0.2366490249180409
ENSMUSG00000026155.14	ENSMUSG00000026155	3575	525	231	737	585	287	485	525.0	38.51530469824359	231.0	44.415936207179	737.0	59.73279906113332	585.0	60.007465544174885	287.0	26.83707241390209	485.0	37.503039872690714	-0.20514914206724993	-0.47464859831945944	54.7187336041624	5.776597094993808	11.804131021183318	True	True	Smap1	ENSMUST00000027339.14	771	0	670	148	5	472	807	162	1320	chr1	-	2289	1320	969	0.0	0.6247480703406352	0.13797898068635012	35.63435913838885	58.976217840155954	0.6048856958831764	41.00610581447434	18.492542882082798	2.210892080506499	1441	625	76.64046495286318	78.0935087925794	-0.027061341742190964	0.04671304783503496	0.0	0.2047852093555473	0.46495489243580845	0.7485017428094177	0.5350451075641915	True	True	11.161131882984307	-0.02554266983726087	0.013861759378443125
ENSMUSG00000026154.5	ENSMUSG00000026154	874	169	86	243	237	180	219	169.0	12.398259988577461	86.0	16.53580309011859	243.0	19.694803489627404	237.0	24.310716810204184	180.0	16.83161336063546	219.0	16.934362334266527	-0.41256425728037577	0.29366442180727503	20.180441129983393	4.342017128348827	9.77313920671969	True	True	Sdhaf4	ENSMUST00000027338.4	49	0	120	46	7	71	315	56	312	chr1	-	683	312	371	0.0	0.8746472984768892	0.10260121805731472	6.382273278517406	8.87142259883702	0.7225468655726589	2.606094922061274	5.747682247133843	0.4627636741698179	169	124	8.98836820057868	15.49375214444775	-0.7788749192470247	0.0796647887061718	0.0	0.5610220274772739	0.7100591715976331	0.35931318381655414	0.28994082840236685	True	True	9.417852514885897	0.1766614697411808	0.11575134803114154
ENSMUSG00000026153.16	ENSMUSG00000026153	7773	427	244	588	573	105	136	427.0	31.325781154571455	244.0	46.915534348708555	588.0	47.65656153045643	573.0	58.77654317403796	105.0	9.818441127037351	136.0	10.516316335434922	-0.5811889084262076	0.20389603415719618	51.11621301773431	5.678528677332373	12.924441392339197	True	True	Fam135a	ENSMUST00000027337.15	17	0	374	14	30	206	614	404	4518	chr1	-	5536	4518	1018	0.0	3.748488422043811	0.02598422784052268	19.891418384712583	25.739620498034167	0.7736730648282352	0.9041553811232993	1.7492945969537783	0.5429937354369491	391	250	20.795573765835883	31.23740351703176	-0.5846882754613462	0.019352927377699027	0.0	0.5762279614232895	0.9565217391304348	0.4044191111990115	0.043478260869565216	True	True	12.434888806530395	-0.30425919252191785	-0.37278217704316785
ENSMUSG00000048874.16	ENSMUSG00000048874	14190	4341	1396	4079	3821	1051	1681	4341.0	318.4665479906199	1396.0	268.41838504425056	4079.0	330.5971334740337	3821.0	391.94619802443117	1051.0	98.27792023348815	1681.0	129.98476294019193	0.24657390969538032	-0.15753239657768728	330.3205721809051	8.3681597023778	13.792688635206432	True	True	Phf3	ENSMUST00000088310.10	256	3	3912	122	6	1403	1460	26	6075	chr1	-	7561	6075	1486	0.15955683196293516	0.7496976844087622	0.3054696237562897	208.06210887966745	175.30430853758222	1.186755961784522	13.615516327503801	15.243852916311498	0.893876942271998	4171	1531	221.83718203913418	191.2978591383025	0.21357669556157793	0.12802032611578285	0.0007192519779429394	0.49736167995779573	0.9379045792375929	0.3746179939264215	0.061376168784464155	True	True	12.884552133987235	-0.4325267981998184	-0.46625333095946503
ENSMUSG00000026134.12	ENSMUSG00000026134	5938	1295	481	1147	1036	420	785	1295.0	95.00441825566753	481.0	92.4851312365935	1147.0	92.9627144140026	1036.0	106.26963128848747	420.0	39.273764508149405	785.0	60.70079649497362	0.038731844137897715	-0.4340444236972872	97.23915897969454	6.604948404524677	12.53600431728855	True	True	Prim2	ENSMUST00000027312.11	14	52	1180	69	41	515	279	181	1515	chr1	-	1975	1515	460	2.76565175402421	5.122934176793208	0.54866702451603	62.75902057208783	64.34905124508542	0.9753288738580332	0.744598549160364	8.621523370700764	0.09684071385943	1246	625	66.26927087527241	78.0935087925794	-0.2365334226217331	0.3385085334171798	0.04173354735152488	0.601744103320841	0.9470304975922953	0.05974736326197904	0.011235955056179775	True	True	10.948367231584678	-0.11286586482521213	-0.172973948056669
ENSMUSG00000004768.15	ENSMUSG00000004768	8285	536	366	987	982	170	324	536.0	39.322292034778215	366.0	70.37330152306284	987.0	79.99494256898045	982.0	100.73048062287134	170.0	15.896523729489042	324.0	25.05357715206555	-0.8380651448826207	-0.3208563919560039	83.69957490497154	6.388871020386631	13.016460104979208	True	True	Rab23	ENSMUST00000088287.10	254	103	138	232	75	74	3175	436	711	chr1	+	4322	711	3611	5.478117897394107	9.371221055109528	0.5889544616197958	7.339614270295018	9.246271441041399	0.795998095842385	13.509145106195177	28.98831046380547	0.467856155589683	495	381	26.326877273884303	47.60580295995639	-0.8521588078086481	0.3178711636398214	0.2080808080808081	0.4296169864892596	0.2787878787878788	0.25251184987091907	0.5131313131313131	True	True	12.077817120895904	-0.37402550341394947	-0.3950878513078619
ENSMUSG00000042197.14	ENSMUSG00000042197	15839	1473	581	1567	1369	202	320	1473.0	108.06294061050059	581.0	111.7128092483593	1567.0	127.00311550718575	1369.0	140.42772705978703	202.0	18.88881054915757	320.0	24.744273730435108	-0.04787919283234009	-0.2429084115599998	126.38121727177736	6.982779347336223	13.951284714966972	True	True	Zfp451	ENSMUST00000044455.8	456	28	116	177	22	70	9987	212	1677	chr1	-	11876	1677	10199	1.489197098320728	2.7488915094987947	0.5578299815988134	6.16953083590016	8.746472984768891	0.708704005166184	24.252638458366143	22.116081690058486	1.0961716290980217	600	269	31.911366392587034	33.61144618432617	-0.07465425962734744	0.23609796237567085	0.04666666666666667	0.29995442530292443	0.19333333333333333	0.46394761232140463	0.76	True	True	13.535882852751254	-0.4593249649555599	-0.44383879615974614
ENSMUSG00000042111.10	ENSMUSG00000042111	2543	256	125	407	303	260	263	256.0	18.78079619571497	125.0	24.03459751470725	407.0	32.98676963077512	303.0	31.08078984595725	260.0	24.31233040980677	263.0	20.336699972201355	-0.35418316373733516	0.17085079695269123	29.367385663813206	4.8810471656255405	11.312882955284355	True	True	Ccdc115	ENSMUST00000042493.10	231	0	24	72	8	139	831	334	540	chr1	-	1705	540	1165	0.0	0.9995969125450163	0.09094241613369947	1.2764546557034813	17.367996355469657	0.07879865713805691	12.285876061146007	8.996372212905145	1.361628105276299	255	219	13.562330716849488	27.36396548091982	-1.0073363288147992	0.05938634354644982	0.0	0.051456342625864175	0.09411764705882353	0.889157313827686	0.9058823529411765	True	True	10.73640193131829	-0.0949385604578767	-0.021440612930130706
